,"Hondo-SEADYN Project:  Rack 005971, File HSL Stemtbl ",,,,,Data checked: 2003 Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Square plots 5m x 5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,1983,,,,,,Fallen Stems,,,,,,,,1983,,,,,,,1983 Crown,,,,1983,1983,1991,2000,2000,,2000,,
,,,,DBH,1983 Base Coordinates (m),,,,Year,Length,Exit Coordinates (m),,,,Year,Uprooted,,Stem,       1983 Stem Lean,,       1991 Stem Lean,,       2000 Stem Lean,,Width (m),,Ht to crown,,BSD,Radial Inc.,DBH,DBH,Height,2000,Fire ,,Comment
Stand,Plot,Tag #,Species,(in),N,S,E,W,Dead,(m),N,S,E,W,Fallen,/ Broken,Age,Height (m),AmtChar,Direction,AmtNum,Direction,AmtNum,Direction,N-S,E-W,bottom (m),Fill%,(cm),(cm),(cm),(cm),(m),Code,Codes,Dummy,(year recorded)
3,0H,445,J,4.5,2.1,.,0.2,.,1981,.,.,.,.,.,.,.,.,3.6,O,Z,.,.,.,.,.,.,.,.,.,.,10.7,.,.,DD,.,X ,Too Rotten (2000)
3,0I,459,J,5.7,.,0.5,.,2,2000,.,.,.,.,.,.,.,.,21.4,S,S,.,.,.,.,2.3,2.5,15.6,.,.,.,15.7,14.5,17,DB2,.,X ,broken top (2000)
3,0I,458,J,7.6,.,1.7,1,.,.,.,.,.,.,.,.,.,.,21.6,O,Z,.,.,.,.,3.6,3.4,1.6,35,.,.,20,20.3,20.8,.,.,X ,
3,0I,453,J,5.7,0.2,.,.,1,1985,.,.,.,.,.,.,.,.,20.8,O,Z,.,.,.,.,2,1.5,15,20,.,.,.,.,.,DD,.,X ,Too Rotten (2000)
3,0I,452,J,.,0.2,.,.,1.3,1981,12.6,0,.,.,1.4,1985,.,.,11.6,S,NE,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Deleted 1983 DBH as 0.3 was recorded in the data sheet and must be a mistake; had a 1 in front of year fallen - deleted (2003)
3,0I,451,J,4.9,0.3,.,.,1.6,1981,15.9,0.3,.,.,0,1981,.,.,2,O,Z,.,.,.,.,.,.,.,.,.,.,12.6,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,0I,455,J,4.4,0.4,.,1.9,.,1981,.,.,.,.,.,.,.,.,14.2,S,SE,.,.,.,.,.,.,.,.,.,.,11,.,.,DD,.,X ,Too Rotten (2000)
3,0I,454,J,1.7,0.5,.,2.1,.,1981,3.6,.,1.6,.,0.3,1987,B,.,3.6,S,SW,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Too Rotten (2000)
3,0I,457,J,4.4,1.6,.,.,1.2,1984,14.1,.,2,0,.,.,.,42,17.6,O,Z,.,.,.,.,1.4,1.3,13.8,10,.,.,11.2,.,.,DD,.,X ,
3,0I,456,J,6.3,2.1,.,2.4,.,.,.,.,.,.,.,.,.,.,21,O,Z,.,.,.,.,3.8,2.9,15.6,60,.,.,17.3,18.3,20.5,.,.,X ,
3,0J,462,J,6.7,.,2.6,.,1.6,1991,.,.,.,.,.,.,.,.,19.4,M,S,.,.,.,.,3.3,2.1,12.2,40,.,.,17,16.8,14.7,DB2,.,X ,Top Off (2000)
3,0J,460,J,3.6,1.1,.,.,1.2,1984,3.1,.,3,.,.,1987,B,.,14.4,L,S,.,.,.,.,.,.,.,.,.,.,18.2,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,0J,461,J,4.1,2,.,0.5,.,1984,.,.,.,.,.,.,.,.,16.4,O,Z,.,.,.,.,.,.,.,.,.,.,11.8,11.8,16.4,DS,.,X ,
3,0J,463,J,7.3,2.2,.,1.6,.,.,.,.,.,.,.,.,.,.,22.2,O,Z,.,.,.,.,2.4,2.8,16.4,30,.,.,19.5,20.1,18.4,.,.,X ,
3,1A,400,J,2.7,.,0.5,.,1.6,1981,7.4,0,.,.,2.5,1981,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,1A,396,J,4.4,.,0.6,1.3,.,1981,10.5,.,0,0.8,.,1987,B,.,11.4,S,SE,.,.,.,.,.,.,.,.,.,.,11.3,.,.,DD,.,X ,Top off (2000); had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,1A,397,J,3.8,.,1.1,1.1,.,1981,12.3,.,1.3,0,.,1984,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,1A,389,J,6.2,.,1.4,.,0.5,1981,7,.,0.6,.,0,.,.,.,7.2,S,NW,.,.,.,.,.,.,.,.,.,.,16.2,.,.,DD,.,X ,Top Off (2000)
3,1A,399,W,1.9,.,1.6,2.7,.,.,.,.,.,.,.,.,.,27,4.1,O,Z,.,.,.,.,2.2,2,0.8,60,.,.,8.8,14.2,11.6,.,.,X ,
3,1A,398,B,1.9,0.7,.,1.7,.,2000,7,0,.,0.4,.,.,.,.,6.5,O,Z,.,.,.,.,2.5,2.9,2.6,10,.,.,6,.,.,DD,.,X ,
3,1B,391,J,7.7,.,0.3,0.7,.,1991,19.1,.,0,0.6,.,.,.,62,20.8,M,S,.,.,.,.,2,4,14,45,.,.,20,.,.,DD,.,X ,Top Off (2000)
3,1B,392,J,6.5,.,2,0.8,.,.,.,.,.,.,.,.,.,.,20.8,O,Z,.,.,.,.,2.2,2.6,14.4,7,.,.,17.5,17.8,19.3,.,.,X ,
3,1B,393,J,8.7,.,2.1,2.1,.,.,.,.,.,.,.,.,.,.,20.6,O,Z,.,.,.,.,3,2.5,12.2,75,.,.,23.6,24.6,21.2,.,.,X ,
3,1B,390,B,1.7,1.2,.,1.8,.,2000,4.8,0,.,.,2.4,.,.,36,6,O,Z,.,.,.,.,1.8,2.1,1.5,5,.,7.18,5.1,.,.,DD,.,X ,
3,1B,394,W,1.3,1.8,.,0.7,.,.,.,.,.,.,.,.,.,22,3.1,O,Z,.,.,.,.,1.7,1.9,1.1,20,.,16.99,5.6,7.7,7.4,.,.,X ,
3,1B,395,W,2.5,2.2,.,.,1,.,.,.,.,.,.,.,.,40,5.3,O,Z,.,.,.,.,2.9,2.6,1.3,70,.,12.42,10.2,15.1,14.1,.,.,X ,
3,1C,386,J,7.9,.,0.4,.,2,.,.,.,.,.,.,.,.,.,22.6,M,S,.,.,.,.,3.8,3.9,13.6,85,.,.,22.5,22.1,20,.,.,X ,
3,1C,384,J,5.2,.,1.8,0.1,.,1981,11.5,.,4,.,.,1988,B,.,16.8,M,SE,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,1C,385,J,5.6,.,2.4,1.7,.,1981,15.5,.,0,1.1,.,1985,U,.,19.8,M,N,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,1C,387,J,8.1,0.2,.,.,1.7,.,.,.,.,.,.,.,.,.,23.4,S,WNW,.,.,.,.,3,3,7.6,.,.,.,23.1,24.7,21.4,.,.,X ,
3,1C,388,J,5,0.5,.,.,1.2,2000,.,.,.,.,.,.,.,.,16.4,M,SE,.,.,.,.,2,2.9,9.4,.,.,.,13.1,12.9,20.4,DS,.,X ,
3,1D,378,W,2.9,.,0.5,.,0.4,.,.,.,.,.,.,.,.,30,5.2,O,Z,.,.,.,.,3,2.8,1.2,50,.,15.68,9.3,12.2,8.4,.,.,X ,
3,1D,379,J,8.3,.,2.2,.,1.1,.,.,.,.,.,.,.,.,.,27,M,SE,.,.,.,.,3.5,3.8,14.6,70,.,.,22.6,23.7,20.2,.,.,X ,
3,1D,381,J,6.9,0.2,.,.,0.2,.,.,.,.,.,.,.,.,.,20.4,S,S,.,.,.,.,2,2.2,14.2,60,.,.,18,17.9,21.3,.,.,X ,broken top (2000)
3,1D,382,J,8.3,1.1,.,.,2.1,.,.,.,.,.,.,.,.,.,22.8,S,NE,.,.,.,.,2.7,2.9,15.4,90,.,.,22.7,22.5,19.6,.,.,X ,broken top (2000)
3,1D,383,J,5.9,1.7,.,.,2.3,.,.,.,.,.,.,.,.,.,19.8,S,SW,.,.,.,.,1.6,2,9.4,90,.,.,15.3,15.5,13.9,.,.,X ,broken top (2000)
3,1D,380,J,6.3,2.1,.,.,0.4,.,.,.,.,.,.,.,.,.,22,S,W,.,.,.,.,2.1,2,12.6,85,.,.,17.3,17.5,19.2,.,.,X ,
3,1E,377,J,10.8,.,2.6,1.8,.,.,.,.,.,.,.,.,.,.,22.6,O,Z,.,.,.,.,3.7,4,16.4,60,.,.,29.8,31.6,26.3,.,.,X ,
3,1E,376,W,2.2,.,2.7,0.3,.,.,.,.,.,.,.,.,.,28,5,O,Z,.,.,.,.,2.6,2.5,1.3,50,.,11.59,8.8,11.5,10.9,.,.,X ,
3,1F,375,W,3.2,.,0.8,.,1.2,.,.,.,.,.,.,.,.,36,7.6,O,Z,.,.,.,.,2.8,2.8,1,45,.,12.92,10.6,13.9,20.4,.,.,X ,
3,1F,374,W,4.1,0.7,.,2.6,.,.,.,.,.,.,.,.,.,.,11.4,O,Z,.,.,.,.,3.5,3.9,1.7,55,.,.,15.2,19.7,17.4,.,.,X ,
3,1G,372,J,3.9,.,1,.,0.8,1981,7,.,1.5,0,.,1981,.,.,4.8,O,Z,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,1G,370,J,6.4,.,1.2,1.3,.,.,.,.,.,.,.,.,.,.,19.6,S,SW,.,.,.,.,2.2,2.7,15.2,15,.,.,18,18.9,19.2,.,.,X ,broken top (2000)
