Stand 7 - 2010 new tree recruits (for the south half of the stand),quad,tree_tag,species,position_N,position_S,position_E,position_W,DBH10,Height10,Code10,AmtNum10,Direction10,Comments10
7,2I,118,PIMA,0,.,.,0.7,2.9,3.5,.,.,.,.
7,2J,119,PIMA,.,1.9,.,0.8,2.6,3.3,.,.,.,.
7,2J,120,PIMA,0.8,.,1.8,.,3.1,3.7,.,.,.,.
7,2J,121,PIMA,.,0.7,1.3,.,2.6,3.4,.,.,.,.
7,2J,122,PIMA,.,0.5,0.4,.,2.9,3.5,.,.,.,.
7,2J,123,PIMA,.,1.7,0.4,.,2.6,3.6,.,.,.,.
7,2J,124,PIMA,0.1,.,0.8,.,3,4.2,LL,20,N,.
7,3J,125,PIMA,.,0.8,0.1,.,3.1,3.7,.,.,.,.
7,3J,126,PIMA,.,0.4,.,1.5,3.5,4.9,.,.,.,.
7,3J,127,PIMA,.,1.4,.,1.4,3.9,5.3,.,.,.,.
7,3J,128,PIMA,.,0.9,.,0.6,3.7,4.6,.,.,.,.
7,3J,129,PIMA,1.2,.,.,0.1,3.1,4.4,.,.,.,.
7,3I,130,PIMA,0.6,.,0.1,.,3.7,4.7,.,.,.,.
7,3I,131,PIMA,.,0.7,1.8,.,3,4.1,.,.,.,.
7,3H,132,PIMA,1.3,.,1.7,.,3.4,3.7,.,.,.,.
7,3H,133,PIMA,0.4,.,.,1.6,2.9,3.9,.,.,.,.
7,3G,134,PIMA,.,1.7,1,.,3.1,4.2,.,.,.,.
7,3G,135,PIMA,.,2.2,0.7,.,3.2,4,.,.,.,.
7,3G,136,PIMA,.,2.4,0.6,.,3,3.9,.,.,.,.
7,3G,137,PIMA,.,2.5,0.4,.,3,3.8,.,.,.,.
7,3G,138,PIMA,.,2.3,.,0.1,2.9,3.5,.,.,.,.
7,3F,139,PIMA,.,1,1.4,.,3.3,3.6,.,.,.,.
7,3E,140,PIMA,1.5,.,0.3,.,3.5,4,.,.,.,.
7,3E,141,PIMA,0.5,.,0.7,.,3.3,3.1,LL,45,SW,.
7,3E,142,PIMA,2,.,.,1.6,2.8,3.8,.,.,.,.
7,3E,143,PIMA,1.5,.,.,1.9,3.5,4.3,.,.,.,.
7,3D,144,PIMA,.,1.7,1,.,2.9,4.4,.,.,.,.
7,3D,145,PIMA,.,0.6,.,1,2.5,3.2,LL,10,E,.
7,3D,146,PIMA,.,2.4,.,0.4,3.4,2.7,.,.,.,.
7,3D,147,PIMA,1.6,.,.,0,3.4,3.6,.,.,.,.
7,3C,148,PIMA,1.9,.,0.8,.,2.5,2.6,.,.,.,.
7,3C,149,PIMA,2,.,1.2,.,2.9,3.2,.,.,.,.
7,3C,150,PIMA,0.1,.,1.5,.,3.7,4.3,.,.,.,.
7,3C,151,PIMA,1.3,.,.,1.6,3.4,3.9,.,.,.,.
7,3B,152,PIMA,0.8,.,0.6,.,2.7,3.1,LL,30,SE,.
7,3B,153,PIMA,.,0.9,1.9,.,2.8,3.8,.,.,.,.
7,3B,154,PIMA,.,1.7,2.2,.,3.1,4.2,.,.,.,.
7,3B,155,PIMA,.,1.8,.,1.5,3.2,4.7,.,.,.,.
7,3B,156,PIMA,1.9,.,.,0.9,3.3,5.9,.,.,.,.
7,3B,157,PIMA,0.2,.,.,0.6,3.5,4.9,.,.,.,.
7,3A,158,PIMA,2.2,.,0.5,.,3.2,3.1,LL,45,SE,.
