stand,species_code,quad,tree_tag,DBH_cm,height_to_crown_m,age,notes
8,PIMA,2G,3573,4.3,8.8,112,NA
8,PIMA,5B,2668,5.6,6.1,108,NA
8,PIMA,9C,2955,4.6,5.9,112,NA
8,PIMA,8F,2604,6.3,8.1,105,NA
8,PIMA,0D,5486,7.9,NA,120,NA
8,PIMA,6H,3259,7.1,9,111,NA
8,PIMA,8C,2238,6.3,9,137,NA
8,PIMA,5G,4204,7.9,9.7,122,NA
8,PIMA,6B,2539,7.4,8.3,106,NA
8,PIMA,2B,5617,8.9,10.3,128,NA
8,PIMA,4J,3968,9.1,10.3,122,NA
8,PIMA,9J,2401,8.9,10.3,92,NA
8,PIMA,5F,4238,9.9,9.9,114,NA
8,PIMA,7B,3203,11.4,10.9,120,NA
8,PIMA,5C,2674,12.4,11.1,167,wow
8,PIMA,9F,2289,15,11.9,109,NA
