original_code,strata,long_code,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
CXSP,G,CARESPR,Carex sprengelii ,Dewey,Sprengel's sedge,Carex sprengelii ,Dewey ex Spreng.,NA,CXSP
CXTU,G,CARETEN,Carex tenuiflora,Wahlenb.,sparseflower edge,Carex tenuiflora,Wahlenb.,,CXTU
CXRO,G,CAREROS,Carex rostrata,Stokes,beaked sedge,Carex utriculata,Stokes,C. rostrata only found in water bodies; D. Johnson identified as C. utriculata in 2015 and suggested updating all other years as well,CXUT
CXVA,G,CAREVAG,Carex vaginata,Tausch,sheathed sedge,Carex vaginata,Tausch,"identified by Derek Johnson - called ""CX-VLF"" on 2005 fieldsheet",CXVA
CXYL,G,CARESP(Y),Carex sp. (yellow),,,0,0,"""CXYL"" = ""CXYI"" = ""Carex Yellow"" - not collected - strongly chlorotic leaves (verified by George LaRoi)",CXYL
DRCA,F,DRYOCAR,Dryopteris carthusiana,(Vill.) H.P. Fuchs,narrow spinulose shield fern,Dryopteris carthusiana,(Vill.) H.P. Fuchs,,DRCA
DRPA,F,DRACPAR,Dracocephalum parviflorum,Nutt.,American dragonhead,Dracocephalum parviflorum,Nutt.,"identified by Derek Johnson - called ""PKMIN"" on 2005 fieldsheet. Was called ""mint"" before 2005 (verified by George LaRoi)",DRPA
DRRO,F,DROSROT,Drosera rotundifolia,L.,round-leaved sundew,Drosera rotundifolia,L.,,DRRO
DRASP,F,,Draba sp.,,,Draba sp.,,,DRSP
DRSP,F,,Draba sp.,,,Draba sp.,,,DRSP
EAPN,NA,NA,NA,NA,NA,NA,NA,probably an entry error: EPAN - as below. Shows up in 1995,EAPN
ELGL,G,ELYMGLA,Elymus glaucus,Buckl.,smooth wild rye,Elymus glaucus,Buckley,,ELGL
EMNI,F,,Empetrum nigrum,L.,black crowberry,Empetrum nigrum,L.,only in AOS plots,EMNI
EPCI,F,EPILCIL,Epilobium ciliatum,Raf.,northern willowherb,Epilobium ciliatum,Raf.,"identified by Derek Johnson - called ""EPPA"" on 2005 fieldsheet (varified by George La Roi as EPCI)",EPCI
EPPA,F,EPILPAL,Epilobium palustre,L.,marsh willowherb,Epilobium palustre,L.,,EPPA
EQAR,F,EQUIARV,Equisetum arvense,L.,common horsetail,Equisetum arvense,L.,,EQAR
EQFL,F,EQUIFLU,Equisetum fluviatile,L.,swamp horsetail,Equisetum fluviatile,L.,,EQFL
EQPA,F,EQUIPAL,Equisetum palustre,L.,marsh horsetaile,Equisetum palustre,L.,,EQPA
EQPR,F,EQUIPRA,Equisetum pratense,Ehrh.,meadow horsetail,Equisetum pratense,Ehrh.,,EQPR
EQSC,F,EQUISCI,Equisetum scirpoides,Michx.,dwarf scouring-rush,Equisetum scirpoides,Michx.,,EQSC
EQSY,F,EQUISYL,Equisetum sylvaticum,L.,woodland horsetail,Equisetum sylvaticum,L.,,EQSY
EQVA,F,EQUIVAR,Equisetum variegatum,Schleich.,variegated horsetail,Equisetum variegatum,Schleich. ex F. Weber & D. Mohr,,EQVA
ERBR,G,ERIOBRA,Eriophorum brachyantherum,Trautv.,northland cottonsedge,Eriophorum brachyantherum,Trautv. & C.A. Mey.,,ERBR
ERISP,F,,Erigeron sp.,,,Erigeron sp.,,,ERSP
ERGL,F,ERIGGLA,Erigeron glabellus,Nutt.,smooth fleabane,Erigeron glabellus,Nutt.,,ERGL
ERGR,G,ERIOGRA,Eriophorum gracile,Koch,slender cotton grass,Eriophorum gracile,W.D.J. Koch,,ERGR
ASCO,F,ASTECON,Aster conspicuus,Lindl.,showy aster,Eurybia conspicua,(Lindl.) G.L. Nesom,,EUCO
FESA,G,FESTSAX,Festuca saximontana,Rydb.,Rocky Mountain fescue,Festuca saximontana,Rydb.,recorded by Robert Ellis in 1987 -  may have been Oryzopsis pungens (verified by George LaRoi),FESA
FRSP,F,FRAGSP.,Fragaria sp,,,Fragaria sp.,NA,would be vesca or virginiana,FRSP
FRVE,F,FRAGVES,Fragaria vesca,L.,woodland strawberry,Fragaria vesca,L.,,FRVE
FRVI,F,FRAGVIR,Fragaria virginiana,Duchesne,wild strawberry,Fragaria virginiana,Duchesne,,FRVI
FZSB,NA,NA,NA,NA,NA,NA,NA,this is a species that was found once in the post fire 2001 resurvey in stand 6,FZSB
GABO,F,GALIBOR,Galium boreale,L.,northern bedstraw,Galium boreale,L.,,GABO
GALA,F,GALILAB,Galium labradoricum,Wieg.,Labrador bedstraw,Galium labradoricum,(Wiegand) Wiegand,,GALA
ORRO,F,ORCHROT,Orchis rotundifolia,Banks ex Pursh,round-leaved orchid,Galearis rotundifolia,(Banks ex Pursh) R.M. Bateman,,GARO
GATR,F,GALITRI,Galium triflorum,Michx.,sweet-scented bedstraw,Galium triflorum,Michx.,,GATR
GEAM,F,GENTAMA,Gentianella amarella,(L.) Borner,felwort,Gentianella amarella,(L.) Borner,,GEAM
GEBI,F,GERABIC,Geranium bicknellii,Britt.,Bicknell's geranium,Geranium bicknellii,Britton,,GEBI
GELI,F,GEOCLIV,Geocaulon lividum,(Richards.) Fern.,northern bastard toadflax,Geocaulon lividum,(Richardson) Fernald,,GELI
GEPU,F,GERAPUS,Geranium pusillum,L.,small eranium,Geranium pusillum,L.,possibly; this is an introduced weed,GEPU
GERI,F,GEUMRIV,Geum rivale,L.,purple avens,Geum rivale,L.,,GERI
GORE,F,GOODREP,Goodyera repens,(L.) R.Br.,lesser rattlesnake plantain,Goodyera repens,(L.) R. Br.,,GORE
GYDR,F,GYMNDRY,Gymnocarpium dryopteris,(L.) Newm.,oak fern,Gymnocarpium dryopteris,(L.) Newman,,GYDR
HERB,F,HERBUNK1,unknown herb,NA,NA,NA,NA,NA,HER1
HERBB,F,HERBUNK2,unknown herb,NA,NA,NA,NA,NA,HER2
HERBD,F,HERBUNK3,unknown herb,NA,NA,NA,NA,NA,HER3
HICA,F,,Hieracium canadense,Michx.,Canadian hawkweed,Hieracium canadense,Michx.,only in AOS plots,HICA
HIUM,F,HIERUMB,Hieracium umbellatum,L.,narrow-leaved hawkweed,Hieracium umbellatum,L.,,HIUM
HOJU,G,HORDJUB,Hordeum jubatum,L.,foxtail barley,Hordeum jubatum,L.,same as HOR-JUB,HOJU
HUTO,F,,Hudsonia tomentosa,Nutt.,sand golden-heather,Hudsonia tomentosa,Nutt.,only in AOS plots,HUTO
JUBA,G,JUNCBAL,Juncus balticus,Willd.,Wire rush,Juncus arcticus,Willd.,NA,JUBA
LALA,T,LARILAR,Larix laricina,(Du Roi) K. Koch,tamarack,Larix laricina,(Du Roi) K. Koch,,LALA
LAOC,F,LATHOCH,Lathyrus ochroleucus,Hook.,cream-colored vetchling,Lathyrus ochroleucus,Hook.,,LAOC
LASP,F,LATHSP.,Lathyrus sp.,NA,NA,NA,NA,either LAOC or LAVE,LASP
LAVE,F,LATHVEN,Lathyrus venosus,Muhl. Ex Willd.,veiny pea (or purple pea vine),Lathyrus venosus,Muhl. Ex Willd.,NA,LAVE
ELIN,G,ELYMINN,Elymus innovatus,Beal,hairy wild rye,Leymus innovatus,(Beal) Pilg.,,LEIN
LIBO,F,LINNBOR,Linnaea borealis,L.,twinflower,Linnaea borealis,L.,,LIBO
LIPH,F,LILIPHI,Lilium philadelphicum,L.,western wood lily,Lilium philadelphicum,L.,,LIPH
LOCA,S,LONICAE,Lonicera caerulea,L.,fly honeysuckle,Lonicera caerulea,L.,,LOCA
LOVI,S,,Lonicera villosa,Michx. Shult.,mountain fly honeysuckle,Lonicera villosa,Michx. Shult.,need to check against physical records; 1981 data only,LOVI
LODI,S,LONIDIO,Lonicera dioica,L.,twining honeysuckle,Lonicera dioica,L.,,LODI
LOIN,S,LONIINV,Lonicera involucrata,(Richards.) Banks,bracted honeysuckle,Lonicera involucrata,(Richardson) Banks ex Spreng.,,LOIN
LYAN,F,LYCOANN,Lycopodium annotinum,L.,stiff club-moss,Lycopodium annotinum,L.,,LYAN
LYCL,F,,Lycopodium clavatum,L.,running club moss,Lycopodium clavatum,L.,only in AOS plots,LYCL
LYCO,F,LYCOCOM,Lycopodium complanatum,L.,ground-cedar,Lycopodium complanatum,L.,,LYCO
LYOB,F,LYCOOBS,Lycopodium obscurum,L.,ground-pine,Lycopodium obscurum,L.,,LYOB
LYTR,F,,Lycopodium tristachyum,Pursh,deeproot clubmoss,Lycopodium tristachyum,Pursh,only in AOS plots,LYTR
