stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
3,5,12,1983,142,4,34,4,layered
3,5,12,1983,144,2,13,3,layered
3,5,12,1983,145,4,38,4,layered
3,5,12,1983,146,7,46,10,layered
3,5,12,1983,147,2,10,2,layered
3,5,12,1983,148,4,20,3,layered
3,5,12,1983,149,4,24,7,layered
3,5,12,1983,150,2,21,3,layered
3,5,12,1983,151,2,9,1,layered
3,5,12,1983,152,4,28,3,layered
3,5,12,1983,153,4,43,9,layered
3,5,12,1983,155,2,7,1,layered
3,5,12,1983,156,4,22,4,layered
3,5,12,1983,158,7,54,9,layered
3,5,12,1983,159,4,26,3,layered
3,5,12,1983,160,25,90,21,NA
3,5,12,1983,161,NA,64,15,layered
3,5,12,1983,162,4,33,6,layered
3,5,12,1983,163,22.5,52,17,NA
3,5,12,1983,164,4,12,3,layered
3,5,12,1983,165,4,11,1,layered
3,5,12,1983,166,4,35,8,layered
3,5,12,1983,167,1,6,1,layered
3,5,12,1983,168,2,22,2,layered
3,5,12,1983,169,4,9,1,layered
3,5,12,1983,170,4,25,4,layered
3,5,12,1983,171,2,10,1,layered
3,5,12,1983,172,4,43,9,layered
3,5,12,1983,173,4,19,2,layered
3,5,12,1983,175,4,25,4,layered
3,5,12,1983,176,4,30,4,layered
3,5,12,1983,177,2,14,2,layered
3,5,12,1983,178,4,15,5,layered
3,5,12,1983,179,4,21,5,layered
3,5,12,1983,180,15,87,16,NA
3,5,12,1983,181,4,30,4,layered
3,5,12,1983,182,2,19,2,layered
3,5,12,1983,183,7,14,5,layered
3,5,12,1983,184,7,24,2,layered
3,5,12,1983,185,15,63,2,NA
3,5,12,1983,186,4,15,4,layered
3,5,12,1983,187,4,19,3,layered
3,5,12,1983,188,4,17,3,layered
3,5,12,1983,189,4,12,4,layered
3,5,12,1983,190,4,20,2,layered
3,5,12,1983,191,4,30,4,layered
3,5,12,1983,192,7,46,20,layered
3,5,12,1983,193,4,48,9,seedling
3,5,12,1983,194,4,23,3,layered
3,5,12,1983,195,4,37,4,layered
3,5,12,1983,196,4,19,3,layered
3,5,12,1983,197,4,24,3,layered
3,5,12,1983,198,2,23,2,layered
3,5,12,1983,199,4,11,5,NA
3,8,18,1983,605,8,30,14,NA
3,8,18,1983,623,3,5,3,NA
3,8,18,1983,624,20,180,22,NA
3,8,18,1983,629,14,350,44,plus 2 layered plants
3,8,18,1983,630,17,100,28.5,NA
3,8,18,1983,633,30,235,26,21 layered plants
3,8,18,1983,635,35,280,33,21 layered plants
3,8,18,1983,640,22.5,100,24,NA
3,8,18,1983,642,1,2,2,assumed 1982 was last browsed year given age of tree
3,8,18,1983,643,17.5,350,36,"browsing documented, but no year given, so assumed 1982"
3,8,18,1983,645,4,26,6,NA
3,8,18,1983,649,5,4,4,"browsing documented, but no year given, so assumed 1982"
3,8,18,1983,652,18,190,25,NA
3,8,18,1983,653,3,6,5,NA
3,8,18,1983,655,19,202,31,NA
3,8,18,1983,659,13,118,33,NA
3,8,18,1983,669,25,170,24,NA
3,8,18,1983,672,7,18,7.5,heavily browsed
3,8,18,1983,682,2,14,3,"browsing documented, but no year given, so assumed 1982"
3,8,18,1983,684,22,64,12,NA
3,8,18,1983,685,8,60,12,"heavily browsed; browsing year not noted, assumed recent (1982)"
3,8,18,1983,688,15,100,16,NA
3,5,12,1983,736,15,35,17,layered
3,6,25,1984,100,NA,NA,NA,NA
3,6,25,1984,103,NA,NA,NA,NA
3,6,25,1984,110,NA,26,5,NA
3,6,23,1984,111,NA,37,7,NA
3,6,25,1984,112,NA,NA,NA,NA
3,6,23,1984,114,NA,33,7,NA
3,6,25,1984,115,NA,NA,NA,NA
3,6,23,1984,116,NA,8,2,NA
3,6,23,1984,117,NA,14,4,NA
3,6,25,1984,118,NA,NA,NA,NA
3,6,23,1984,119,NA,60,22,NA
3,6,25,1984,120,NA,75,28,NA
3,6,23,1984,121,NA,34,6,NA
3,6,25,1984,122,NA,27,6,NA
3,6,23,1984,124,NA,51,7,NA
3,6,23,1984,125,NA,19,2,NA
3,6,25,1984,126,NA,NA,NA,NA
3,6,23,1984,127,NA,57,13,NA
3,6,25,1984,128,NA,NA,NA,NA
3,6,25,1984,129,NA,55,6,NA
3,6,23,1984,130,NA,50,12,NA
3,6,23,1984,133,NA,227,35,NA
3,6,23,1984,134,NA,32,7,NA
3,6,23,1984,135,NA,27,3,NA
3,6,23,1984,136,NA,9,1,NA
3,6,23,1984,139,NA,13,2,NA
3,6,25,1984,140,NA,115,21,NA
3,6,23,1984,141,NA,25,6,NA
3,6,23,1984,142,NA,10,6,NA
3,6,23,1984,145,NA,32,4,NA
3,6,23,1984,146,NA,45,12,NA
3,6,23,1984,147,NA,13,2,NA
3,6,23,1984,148,NA,22,2,NA
3,6,23,1984,149,NA,35,7,NA
3,6,23,1984,150,NA,29,3,NA
3,6,23,1984,151,NA,13,1,NA
3,6,23,1984,152,NA,16,3,NA
3,6,23,1984,153,NA,55,11,NA
3,6,23,1984,156,NA,23,4,NA
3,6,23,1984,158,NA,58,10,NA
3,6,23,1984,159,NA,27,5,NA
3,6,23,1984,160,NA,97,25,NA
3,6,23,1984,161,NA,69,15,NA
3,6,23,1984,162,NA,28,7,extensive browsing
3,6,25,1984,163,NA,62,18,NA
3,6,23,1984,164,NA,10,3,NA
3,6,25,1984,165,NA,NA,NA,NA
3,6,23,1984,166,NA,37,9,NA
3,6,23,1984,167,NA,9,1,NA
3,6,23,1984,168,NA,26,3,NA
3,6,25,1984,169,NA,NA,NA,NA
3,6,23,1984,170,NA,25,4,NA
3,6,23,1984,171,NA,10,2,NA
3,6,23,1984,172,NA,28,6,NA
3,6,25,1984,173,NA,NA,NA,NA
3,6,23,1984,175,NA,26,4,NA
3,6,23,1984,176,NA,32,5,NA
3,6,23,1984,177,NA,12,3,NA
3,6,23,1984,178,NA,14,5,NA
3,6,23,1984,179,NA,29,6,NA
3,6,25,1984,180,NA,87,18,NA
3,6,23,1984,181,NA,29,4,NA
3,6,23,1984,182,NA,24,2,NA
3,6,25,1984,184,NA,NA,NA,NA
3,6,25,1984,185,NA,45,21,NA
3,6,23,1984,186,NA,28,4,NA
3,6,23,1984,187,NA,20,4,NA
3,6,25,1984,189,NA,NA,NA,NA
3,6,23,1984,190,NA,15,3,NA
3,6,23,1984,191,NA,26,5,NA
3,6,23,1984,192,NA,48,14,NA
3,6,23,1984,193,NA,56,10,NA
3,6,23,1984,194,NA,14,3,NA
3,6,23,1984,195,NA,28,5,NA
3,6,23,1984,196,NA,25,3,NA
3,6,25,1984,197,NA,NA,NA,NA
3,6,23,1984,198,NA,24,2,NA
3,6,25,1984,605,NA,38,14,NA
3,6,25,1984,623,NA,7,3,NA
3,6,25,1984,624,NA,180,23,NA
3,6,25,1984,629,NA,350,45,NA
3,6,25,1984,630,NA,100,20,NA
3,6,25,1984,633,NA,235,29,NA
3,6,25,1984,635,NA,280,32,NA
3,6,25,1984,640,NA,100,24,NA
3,6,25,1984,643,NA,350,41,"browsing documented in 1983 survey, so added 1982 to years browsed"
3,6,25,1984,645,NA,29,7,NA
3,6,25,1984,652,NA,190,27,NA
3,6,25,1984,653,NA,11,5,NA
3,6,25,1984,655,NA,202,31,NA
3,6,25,1984,659,NA,118,26,NA
3,6,25,1984,669,NA,170,26,NA
3,6,25,1984,672,NA,9,8,uprooted
3,6,25,1984,682,NA,8,6,"browsing documented in 1983 survey, so added 1982 to years browsed"
3,6,25,1984,688,NA,100,18,NA
3,6,25,1984,684,NA,68,11,NA
3,6,23,1984,736,NA,40,17,NA
3,5,18,1985,688,NA,80,9,NA
3,5,18,1985,655,NA,190,33,NA
3,5,18,1985,659,NA,120,32,NA
3,5,18,1985,629,NA,300,44,NA
3,5,18,1985,669,NA,117,27,NA
3,5,18,1985,635,NA,270,35,NA
3,5,18,1985,633,NA,235,29,NA
3,5,18,1985,640,NA,110,28,NA
3,5,18,1985,652,NA,190,24,snow damage
3,5,18,1985,624,NA,190,6,snow damage
3,5,18,1985,684,NA,60,11,NA
3,5,18,1985,630,NA,115,24,NA
3,5,18,1985,605,NA,55,3,NA
3,5,18,1985,110,NA,20,6,NA
3,5,18,1985,118,NA,17,5,dominant of layered
3,5,18,1985,140,NA,55,19,NA
3,5,18,1985,129,NA,55,6,NA
3,5,18,1985,685,NA,75,3,NA
3,5,18,1985,643,NA,350,33,NA
3,5,18,1985,133,NA,250,42,NA
3,5,18,1985,184,NA,100,28,NA
3,5,18,1985,111,NA,48,7,NA
3,5,18,1985,121,NA,60,8,NA
3,5,18,1985,165,NA,30,6,NA
3,5,18,1985,193,NA,63,11,NA
3,5,18,1985,163,NA,70,19,NA
3,5,18,1985,122,NA,30,16,NA
3,5,18,1985,120,NA,100,29,healthy to 50 cm height
3,5,18,1985,185,NA,100,21,NA
3,5,18,1985,180,NA,74,18,NA
3,5,18,1985,188,NA,97,7,NA
3,5,18,1985,169,NA,83,3,NA
3,5,18,1985,148,NA,270,28,NA
3,5,18,1985,645,NA,40,9,NA
3,5,18,1985,682,NA,74,8,NA
4,5,17,1983,379,10,33,8,NA
4,5,17,1983,327,15,26,13,"dead top; total height 57 cm, 26 cm live"
4,5,17,1983,340,7,14,4,NA
4,5,17,1983,329,6,6,2,NA
4,5,17,1983,326,14,27,9,NA
4,5,17,1983,303,25,83,21,NA
4,5,17,1983,342,14,60,10,NA
4,5,17,1983,369,32.5,210,37,NA
4,5,17,1983,304,7,12.5,3,NA
4,5,17,1983,380,27.5,140,17,NA
4,5,17,1983,302,30,140,17,NA
4,5,17,1983,330,8,13,3.5,NA
4,5,17,1983,397,NA,210,21,NA
4,5,17,1983,344,5,7,1.5,NA
4,5,17,1983,350,6,8,1.5,NA
4,5,17,1983,353,3,3,1,NA
4,5,17,1983,352,7,4,2,NA
4,5,17,1983,336,4,3,1.5,NA
4,5,17,1983,360,50,280,34,seedling
4,5,17,1983,372,6,4,1.5,seedling
4,5,17,1983,335,6,6,1,seedling
4,5,17,1983,361,7,6,1,seedling
4,5,17,1983,383,3,2,1,seedling
4,5,17,1983,315,6,7,1,seedling
4,5,17,1983,331,8,6,1,seedling
4,5,17,1983,323,7,5,1,seedling
