5J,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,.01,.01,.01,0,.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,25,.1,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0
7H,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,.01,0,.01,0,85,.1,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7F,0,0,0,0,0,0,0,0,0,0,1,0,.01,0,0,.1,.1,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0
7D,0,0,0,0,0,0,0,0,0,0,.1,0,.01,0,0,0,0,0,0,0,0,0,0,40,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,.1,0,0,.01,90,.1,.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9B,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,30,1,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,5,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,95,.01,1,.01,.01,0,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,0,.01,0,0,0,0,0,0,.1,0,0,.01,0,0,0,0,0,0,.01,5,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,.01,0,.01,.01,0,0,.01,0,0,.01,0,0,.01,0,0,0,0,0,0,.01,70,1,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0
1B,0,0,0,0,0,0,0,1,0,0,.1,0,.01,0,0,.1,.1,0,0,0,0,0,.01,20,1,.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,.01,0,7,0,1,0,0,0,0,0,1,0,0,0,0,.01,0,0,0
1F,0,0,0,0,0,0,0,0,0,0,.1,0,.01,0,0,0,0,0,0,0,0,0,0,5,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,1,0,0,7,0,0,0,0,0,0,.01,0,.01,0,0,0,0,0,0,.1,.1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0
3J,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.1,40,.1,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0
3H,0,0,.1,.1,0,.1,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3F,0,0,.1,0,0,.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,.1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
3D,0,0,0,0,0,1,0,0,.1,.01,0,0,.01,0,0,0,0,0,0,0,0,0,0,30,.1,0,0,0,0,0,0,0,0,1,0,0,0,.01,0,0
