stand,east_west,north_south,contour_value
5,3,E,6.19
5,4,E,5.02
5,5,E,5.27
5,6,E,4.05
5,7,E,3.57
5,8,E,3.29
5,9,E,3.02
5,10,E,2.88
5,0,F,8.66
5,1,F,7.77
5,2,F,6.24
5,3,F,5.83
5,4,F,4.9
5,5,F,4.22
5,6,F,3.71
5,7,F,3.47
5,8,F,3.07
5,9,F,3.05
5,10,F,2.51
5,0,G,7.88
5,1,G,7.14
5,2,G,6.29
5,3,G,5.32
5,4,G,4.49
5,5,G,4.45
5,6,G,3.1
5,7,G,3.36
5,8,G,3.08
5,9,G,2.6
5,10,G,2.29
5,0,H,6.95
5,1,H,6.51
5,2,H,5.59
5,3,H,4.89
5,4,H,4.07
5,5,H,3.85
5,6,H,2.81
5,7,H,2.86
5,8,H,3.25
5,9,H,2.34
5,10,H,2.17
5,0,I,6.56
5,1,I,7.12
5,2,I,4.84
5,3,I,4.33
5,4,I,3.88
5,5,I,3.35
5,6,I,2.53
5,7,I,2.25
5,8,I,4.82
5,9,I,1.71
5,10,I,1.61
5,0,J,6.37
5,1,J,6.51
5,2,J,4.45
5,3,J,3.83
5,4,J,3.05
5,5,J,2.65
5,6,J,1.58
5,7,J,1.72
5,8,J,1.36
5,9,J,1.23
5,10,J,0.84
5,0,K,5.52
5,1,K,6.27
5,2,K,4.15
5,3,K,3.67
5,4,K,2.5
5,5,K,2.25
5,6,K,0.93
5,7,K,1.08
5,8,K,0.65
5,9,K,0.4
5,10,K,0.31
6,0,A,10
6,1,A,9.38
6,2,A,9.4
6,3,A,9.28
6,4,A,9.21
6,5,A,8.92
6,6,A,9.11
6,7,A,9.28
6,8,A,9.01
6,9,A,8.83
6,10,A,9.08
6,0,B,9.73
6,1,B,9.29
6,2,B,9.28
6,3,B,8.9
6,4,B,9.01
6,5,B,8.51
6,6,B,8.72
6,7,B,8.89
6,8,B,8.35
6,9,B,8.5
6,10,B,8.46
6,0,C,9.38
6,1,C,8.76
6,2,C,9.08
6,3,C,8.78
6,4,C,8.84
6,5,C,8.39
6,6,C,8.4
6,7,C,8.43
6,8,C,8.04
6,9,C,8.27
6,10,C,8.48
6,0,D,9.13
6,1,D,8.82
6,2,D,9.05
6,3,D,8.78
6,4,D,8.66
6,5,D,7.94
6,6,D,8.33
6,7,D,8.43
6,8,D,8.32
6,9,D,8.13
6,10,D,8.36
6,0,E,9.08
6,1,E,8.96
6,2,E,9.31
6,3,E,8.8
6,4,E,8.69
6,5,E,8.33
6,6,E,8.21
6,7,E,8.3
6,8,E,8.46
6,9,E,8.25
6,10,E,8.29
6,0,F,9.16
6,1,F,9.14
6,2,F,9.64
6,3,F,8.78
6,4,F,8.96
6,5,F,8.15
6,6,F,8.12
6,7,F,8.25
6,8,F,8.15
6,9,F,7.93
6,10,F,8
6,0,G,9.6
6,1,G,9.41
6,2,G,9.5
6,3,G,9.14
6,4,G,9.2
6,5,G,8.27
6,6,G,8.2
6,7,G,8.38
6,8,G,7.83
6,9,G,7.83
6,10,G,8.19
6,0,H,9.85
6,1,H,9.7
6,2,H,10.25
6,3,H,9.3
6,4,H,9.63
6,5,H,8.4
6,6,H,8.14
6,7,H,8.62
6,8,H,8.4
6,9,H,8.12
6,10,H,8.36
6,0,I,9.87
6,1,I,9.66
6,2,I,10.14
6,3,I,9.49
6,4,I,9.74
6,5,I,8.53
6,6,I,8.46
6,7,I,8.65
6,8,I,7.88
6,9,I,7.85
6,10,I,8.09
6,0,J,9.82
6,1,J,10.44
6,2,J,10.51
6,3,J,10
6,4,J,9.86
6,5,J,8.81
6,6,J,9.03
6,7,J,8.63
6,8,J,7.94
6,9,J,8.03
6,10,J,8.42
6,0,K,10.5
6,1,K,10.12
6,2,K,10.02
6,3,K,9.55
6,4,K,10.41
6,5,K,8.56
6,6,K,8.17
6,7,K,9.11
6,8,K,8.27
6,9,K,8.42
6,10,K,8.67
7,0,A,10
7,1,A,9.57
7,2,A,10.33
7,3,A,10.31
