stand,quad,tree_tag,species_code,DBH_1983_cm,base_coord_S_1983_m,base_coord_W_1983_m,year_dead,fallen_stem_length_1983_m,exit_coord_S_1983_m,exit_coord_W_1983_m,year_fallen_1988,age_1983,stem_height_1983_m,stem_lean_amt_scaled_1983,stem_lean_dir_1983,stem_lean_amt_1991,stem_lean_dir_1991,stem_lean_amt_2000,stem_lean_dir_2000,crown_width_NS_1983_m,crown_width_EW_1983_m,height_to_crown_1983_m,fill_perc_1983,BSD_1983_cm,radial_10year_inc_1983_mm,DBH_1991_cm,DBH_2000_cm,height_2000_m,tree_code_2000,fire_code_2000,comments,DBH_2005_cm,height_2005_m,code_2005,lean_amount_2005_degrees,lean_direction_2005,comments_2005,DBH_2010_cm,height_2010_m,code_2010,lean_amount_2010_degrees,lean_direction_2010,comments_2010
1,1C,6391,PIBA,9,1,4,NA,NA,NA,NA,NA,37,11,S,N,NA,NA,NA,NA,2.4,1.4,4.1,40,12.2,13.2,12.1,14.4,15.6,NA,NA,NA,15.2,16.4,NA,NA,NA,NA,16.2,17.2,NA,NA,NA,NA
1,1D,6394,PIBA,7,1.2,0.1,NA,NA,NA,NA,NA,25,8.7,S,N,NA,NA,NA,NA,2.2,1.4,2.4,30,NA,15.34,9.4,11.7,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1D,6393,PIBA,15.5,4.8,1.7,NA,NA,NA,NA,NA,36,11.7,Z,Z,NA,NA,NA,NA,3.9,3.2,1.4,40,20.4,17.78,17.6,21,16.8,NA,NA,NA,20.7,17.9,NA,NA,NA,dbh checked not sure why dbh loss,21.2,18.8,NA,NA,NA,NA
1,1E,6398,PIBA,10.5,0.1,3,NA,NA,NA,NA,NA,32,11.6,Z,Z,NA,NA,NA,NA,1.3,2.3,1.6,20,NA,9.05,11.9,13,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1E,6397,PIBA,7,0.9,2.5,2000,NA,NA,NA,NA,28,5.2,L,SW,NA,NA,NA,NA,1.2,2,2.3,35,NA,4.66,7.4,7.6,NA,DL,NA,"lean_over_too_much,_no_height_measurement_in_2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1E,6396,PIBA,11.5,1.6,2.4,NA,NA,NA,NA,NA,33,12.8,S,S,NA,NA,NA,NA,2.3,1.5,5.8,30,13.8,NA,13.3,14.1,18.6,NA,NA,NA,14.6,17.7,NA,NA,NA,ht checked not sure why ht loss slightly crooked,14.6,17.8,NA,NA,NA,dbh checked
1,1E,6395,PIBA,13.5,1.7,2.1,NA,NA,NA,NA,NA,33,13,S,W,NA,NA,NA,NA,2.4,2,3,35,NA,11.27,16.3,18.8,17.6,NA,NA,NA,19.5,18.3,NA,NA,NA,NA,20.3,19.1,NA,NA,NA,NA
1,1E,6399,PIBA,11.5,3.8,2.7,NA,NA,NA,NA,NA,33,11.1,Z,Z,NA,NA,NA,NA,2,2.2,4.8,40,15,8.52,13,14.6,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1F,6407,PIBA,8.5,0,2.7,2000,NA,NA,NA,NA,33,12.6,Z,Z,NA,NA,NA,NA,1.5,1.4,6.6,70,10.6,13.7,10.4,10.8,14.7,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1F,6406,PIBA,8.2,0.4,2.6,1985,NA,NA,NA,NA,36,12.8,Z,Z,NA,NA,NA,NA,1.2,1.6,3.9,40,10.1,11.03,8.7,8.4,12.1,DS,NA,new_tag:_8010_(tagged_2000),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
