"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"5","0E","2625","POTR",10,NA,"2","1.5",NA,"1982","1",NA,"2.5","1.6",NA,"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","0E","2258","POTR",7.2,"0.4",NA,NA,"0.9","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.4",NA,NA,"DD",NA,"1_m_snag_(1991)"
"5","0E","2296","PIGL",11.5,"0.4",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.8","13.8","15.5",NA,NA,""
"5","0E","2295","POTR",14.8,"0.9",NA,NA,"0.6","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,"DD",NA,""
"5","0E","2298","POTR",12.8,"1.4",NA,"1.2",NA,"1982","2.5","0.1",NA,"0",NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.8",NA,NA,"DD",NA,"Data_is_different_than_the_original_data_sheet,_but_left_as_is,_b/c_it_is_the_original_data_entry_(2003)"
"5","0E","2297","PIGL",14,"1.9",NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.3","19.9","16.1",NA,NA,""
"5","0F","2648","POTR",16.8,NA,"0.2","1.8",NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.5","17.2",NA,"DB2",NA,""
"5","0F","2647","POTR",19,NA,"1",NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.9","23","21.1",NA,NA,""
"5","0F","2649","PIGL",18.5,"0.2",NA,NA,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.3","23.8","18.2",NA,NA,""
"5","0F","2643","POTR",15,"1.5",NA,"0",NA,"1982","9.3","0",NA,"1",NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"Data_is_different_than_the_original_data_sheet,_but_left_as_is,_b/c_it_is_the_original_data_entry_(2003)"
"5","0F","2646","POTR",18,"1.9",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.1","19.6","20.3",NA,NA,""
"5","0F","2626","POTR",15.2,"2.1",NA,NA,"1.6","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.5",NA,NA,"DD",NA,""
"5","0G","2644","POTR",16,NA,"2.2",NA,"1.9","1982","7.2","0",NA,"0.7",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","0G","2641","POTR",22.2,NA,"2.8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.3","27.1",NA,"LL",NA,""
"5","0G","2642","POTR",14.5,"0.3",NA,"0.7",NA,"1984",NA,"0",NA,"0",NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.4",NA,NA,"DD",NA,"Data_is_different_than_the_original_data_sheet,_but_left_as_is,_b/c_it_is_the_original_data_entry_(2003)"
"5","0G","2645","POTR",13,"1.8",NA,"2.3",NA,"1982","4.1",NA,"6","0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.1",NA,NA,"DD",NA,""
"5","0H","2628","POTR",9.5,NA,"0.1",NA,"1.8","1982","0.9",NA,"0","2.5",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.7",NA,NA,"DD",NA,""
