quad,stand,stand_size,year,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,LECGRA
4G,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,60,NA,2,0.01,NA,NA,NA,0.01,NA,NA,1,NA,NA,0.1,2,NA,0.1,NA,NA,NA,25,NA,NA,0.1,NA,NA,NA,0.01,0.1,0.01,0.1,0.1,NA,NA,0.01,0.01,NA,0.1,NA
4I,FD,25,1982,NA,NA,NA,1,NA,NA,NA,NA,0.1,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,80,NA,2,0.01,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.1,0.1,0.1,0.01,NA,NA,NA,1,NA,NA,5,NA,NA,NA,0.01,0.1,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.01,NA
8A,FD,25,1982,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,0.01,0.01,NA,NA,NA,NA,0.1,NA,65,NA,1,0.01,NA,NA,NA,0.01,NA,NA,1,NA,0.01,0.01,0.1,0.1,0.1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
8C,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,80,NA,0.1,0.01,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,NA,1,0.01,0.01,NA,NA,NA,4,NA,NA,5,NA,NA,NA,0.01,0.01,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.1,NA
8E,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,0.1,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,0.1,75,0.1,2,NA,NA,NA,0.01,0.1,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.1,NA
8G,FD,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,80,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,1,NA,NA,0.1,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.1,NA
8I,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,75,NA,2,0.1,NA,NA,NA,0.01,NA,NA,0.1,NA,0.01,0.01,1,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,0.01,1,0.01,0.01,0.1,NA,0.1,0.01,0.01,NA,0.1,NA
0A,WY,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,2,NA,0.01,0.01,3,0.01,0.1,0.01,NA,NA,NA,0.01,0.1,2,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,0.1,0.01,NA,0.01,NA
0C,WY,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,0.1,NA,NA,0.01,0.1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.01,0.01,0.1,NA,0.01,NA,NA,0.1,0.01,NA,0.01,NA
0E,WY,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.01,NA,0.1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.01,0.01,0.01,NA,0.01,NA,NA,0.1,0.01,NA,0.01,NA
