repaired_name_1980,sp_name_1980,accepted_name,species,notes,kingdom,class,order,family,genus,code,division
Cladonia,Cladonia,Cladonia,NA,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASPP,Ascomycota
Cladina stellaris,Cladina stellaris,Cladonia stellaris,stellaris,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASTE,Ascomycota
Cladonia subulata,Cladonia subulata,Cladonia subulata,subulata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASUB,Ascomycota
Cladonia uncialis,Cladonia unciais,Cladonia uncialis,uncialis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAUNC,Ascomycota
Cladonia verticillata,Cladonia verticillata,Cladonia verticillata,verticillata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAVER,Ascomycota
Dicranum fuscescens,Dicranum fuscescens,Dicranum fuscescens,fuscescens,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICFUS,Bryophyta
Dicranum polysetum,Dicranum polysetum,Dicranum polysetum,polysetum,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICPOL,Bryophyta
Dicranum scoparium,Dicranum scoperium,Dicranum scoparium,scoparium,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICSCO,Bryophyta
Dicranum,Dicranum,Dicranum,NA,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICSP,Bryophyta
Dicranum undulatum,Dicranum undulatum,Dicranum undulatum,undulatum,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,DICUND,Bryophyta
Drepanocladus revolvens,Drepanocladus revolvens,Scorpidium revolvens,revolvens,NA,Plantae,Bryopsida,Hypnales,Calliergonaceae,Scorpidium,DREREV,Bryophyta
Drepanocladus uncinatus,Drepanocladus uncinatus,Drepanocladus uncinatus,uncinatus,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Drepanocladus,DREUNC,Bryophyta
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,Mis-spelled?,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,EURPUI,Bryophyta
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,NA,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,EURPUL,Bryophyta
Eurhynchium,Eurhynchium,Eurhynchium,NA,NA,Plantae,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium,EURSP,Bryophyta
Helodium blandowii,Helodium blandowii,Elodium blandowii,blandowii,NA,Plantae,Bryopsida,Hypnales,Helodiaceae,Elodium,HELBLA,Bryophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,Originally 'hepatic species',Plantae,NA,NA,NA,Marchantiophyta,HEP002,Marchantiophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,Originally 'hepatic species',Plantae,NA,NA,NA,Marchantiophyta,HEP003,Marchantiophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,Originally 'hepatic species',Plantae,NA,NA,NA,Marchantiophyta,HEPSP,Marchantiophyta
Hylocomium splendens,Hylocomium splendens,Hylocomium splendens,splendens,NA,Plantae,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium,HYLSPL,Bryophyta
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,NA,Fungi,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila,ICMERI,Ascomycota
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,NA,Fungi,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila,IMAERI,Ascomycota
Leptogium saturninum,Leptogium saturninum,Leptogium saturninum,saturninum,NA,Fungi,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,LEPSAT,Ascomycota
Mnium cuspidatum,Mnium cuspidatum,Mnium cuspidatum,cuspidatum,NA,Plantae,Bryopsida,Bryales,Mniaceae,Mnium,MNICUS,Bryophyta
Mnium,Mnium,Mnium,NA,NA,Plantae,Bryopsida,Bryales,Mniaceae,Mnium,MNISP,Bryophyta
Orthodicranum flagellare,Orthodicranum flagillare,Dicranum flagellare,flagellare,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,ORTFLA,Bryophyta
Orthodicranum,Orthodicranum,Dicranum,NA,NA,Plantae,Bryopsida,Dicranales,Dicranaceae,Dicranum,ORTH,Bryophyta
Orthotrichum speciosum,Orthotrichum speciosum,Orthotrichum speciosum,speciosum,NA,Plantae,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,ORTSPE,Bryophyta
Parmelia sulcata,Parmelia sulcata,Parmelia sulcata,sulcata,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia,PARSUL,Ascomycota
Peltigera aphthosa,Peltigera aphthosa,Peltigera aphthosa,aphthosa,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELAPH,Ascomycota
Peltigera canina,Peltigera canina,Peltigera canina,canina,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELCAN,Ascomycota
Peltigera horizontalis,Peltigera horizontalis,Peltigera horizontalis,horizontalis,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELHOR,Ascomycota
Peltigera malacea,Peltigera malacea,Peltigera malacea,malacea,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELMAL,Ascomycota
Peltigera polydactylon,Peltigera polydactylon,Peltigera polydactylon,polydactylon,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELPOL,Ascomycota
Peltigera pulverulenta,Peltigera pulverulenta,Peltigera pulverulenta,pulverulenta,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELPUL,Ascomycota
Peltigera rufescens,Peltigera rufescens,Peltigera rufescens,rufescens,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELRUF,Ascomycota
Peltigera,Peltigera,Peltigera,NA,NA,Fungi,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,PELSP,Ascomycota
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,Mis-spelled?,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PITPUL,Marchantiophyta
Plagiomnium cuspidatum,Plagiomnium cuspidatum,Plagiomnium cuspidatum,cuspidatum,NA,Plantae,Bryopsida,Bryales,Mniaceae,Plagiomnium,PLACUS,Bryophyta
Platismatia glauca,Platismatia glauca,Platismatia glauca,glauca,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Platismatia,PLAGLA,Ascomycota
Pleurozium schreberi,Pleurozium schreberi,Pleurozium schreberi,schreberi,NA,Plantae,Bryopsida,Hypnales,Hylocomiaceae,Pleurozium,PLESCH,Bryophyta
Pohlia nutans,Pohlia nutans,Pohlia nutans,nutans,NA,Plantae,Bryopsida,Bryales,Mielichhoferiaceae,Pohlia,POHNUT,Bryophyta
Polytrichum juniperinum,Polytrichum juniperinum,Polytrichum juniperinum,juniperinum,NA,Plantae,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,POLJUN,Bryophyta
Polytrichum piliferum,Polytrichum piliferum,Polytrichum piliferum,piliferum,NA,Plantae,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,POLPIL,Bryophyta
Polytrichum strictum,Polytrichum strictum,Polytrichum strictum,strictum,NA,Plantae,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum,POLSTR,Bryophyta
Ptilidium,Ptilidium crista-castrensis,Ptilidium,NA,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTICC,Marchantiophyta
Ptilidium ciliare,Ptilidium ciliare,Ptilidium ciliare,ciliare,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTICIL,Marchantiophyta
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTIPUL,Marchantiophyta
Ptilidium,Ptilidium,Ptilidium,NA,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTISP,Marchantiophyta
Pylaisiella polyantha,Pylaisiella polyantha,Pylaisia polyantha,polyantha,NA,Plantae,Bryopsida,Hypnales,Pylaisiaceae,Pylaisia,PYLPOL,Bryophyta
Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,triquetrus,NA,Plantae,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,RHYTRI,Bryophyta
Sphagnum angustifolium,Sphagnum angustifolium,Sphagnum angustifolium,angustifolium,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHANG,Bryophyta
Sphagnum fuscum,Sphagnum fuscum,Sphagnum fuscum,fuscum,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHFUS,Bryophyta
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,Mis-spelled?,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHMEM,Bryophyta
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHNEM,Bryophyta
Sphagnum russowii,Sphagnum russowii,Sphagnum russowii,russowii,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHRUS,Bryophyta
Sphagnum warnstorfii,Sphagnum warnstorfii,Sphagnum warnstorfii,warnstorfii,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHWAR,Bryophyta
Stereocaulon alpinum,Stereocaulon alpinum,Stereocaulon alpinum,alpinum,NA,Fungi,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,STEALP,Ascomycota
Thuidium recognitum,Thuidium recognitum,Thuidium recognitum,recognitum,NA,Plantae,Bryopsida,Hypnales,Thuidiaceae,Thuidium,THUREC,Bryophyta
Tomentypnum falcifolium,Tomentypnum falcifolium,Tomentypnum falcifolium,falcifolium,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Tomentypnum,TOMFAL,Bryophyta
Tomentypnum nitens,Tomentypnum nitens,Tomentypnum nitens,nitens,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Tomentypnum,TOMNIT,Bryophyta
