stand,quadrat,tree_tag,dead,height_m,age,dbh_m,sp_codes
4,0C,1426,l,NA,NA,13.71599259,PIBA
4,0C,1424,l,NA,NA,5.841996845,PIBA
4,0D,1423,l,NA,NA,12.44599328,PIBA
4,0E,1418,l,NA,NA,10.15999451,PIBA
4,0E,1419,l,8.4,33,7.365996022,PIBA
4,0E,1422,l,NA,NA,3.047998354,PIBA
4,0E,1420,l,NA,NA,9.651994788,PIBA
4,0E,1421,l,NA,NA,7.365996022,PIBA
4,0F,1415,l,NA,NA,9.397994925,PIBA
4,0F,1416,l,NA,NA,10.15999451,PIBA
4,0F,1414,l,NA,NA,11.17599396,PIBA
4,0F,1417,l,NA,NA,11.68399369,PIBA
4,0F,1413,l,NA,NA,13.20799287,PIBA
4,0H,1410,l,NA,NA,9.397994925,PIBA
4,0H,1409,l,NA,NA,14.22399232,PIBA
4,0H,1411,l,NA,NA,9.143995062,PIBA
4,0H,1412,l,NA,NA,9.397994925,PIBA
4,0I,1407,l,NA,NA,3.047998354,PIBA
4,0I,1408,l,NA,NA,7.619995885,PIBA
4,0J,1406,l,NA,NA,11.68399369,PIBA
4,0J,1405,l,NA,NA,7.619995885,PIBA
4,1J,1438,l,NA,NA,5.841996845,PIBA
4,1J,1439,l,NA,NA,11.68399369,PIBA
4,1J,1440,l,NA,NA,5.33399712,PIBA
4,1I,1441,l,NA,NA,6.349996571,PIBA
4,1I,1442,l,NA,NA,10.15999451,PIBA
4,1I,1444,l,NA,NA,14.47799218,PIBA
4,1I,1443,l,NA,NA,11.42999383,PIBA
4,1H,1445,l,8.6,34,9.143995062,PIBA
4,1H,1446,l,NA,NA,6.603996434,PIBA
4,1H,1447,l,NA,NA,10.9219941,PIBA
4,1G,1448,l,NA,NA,8.889995199,PIBA
4,1G,1449,l,NA,NA,9.651994788,PIBA
4,1F,1450,l,NA,NA,12.69999314,PIBA
4,1F,1451,l,NA,NA,8.635995337,PIBA
4,1F,1452,l,NA,NA,8.889995199,PIBA
4,1E,1453,l,NA,NA,7.11199616,PIBA
4,1E,1454,l,NA,NA,7.873995748,PIBA
4,1E,2782,l,NA,NA,5.841996845,PIBA
4,1D,1455,l,NA,NA,12.19199342,PIBA
4,1D,1456,l,NA,NA,12.44599328,PIBA
4,1D,1457,l,NA,NA,13.46199273,PIBA
4,1C,1458,l,NA,NA,14.22399232,PIBA
4,1C,1459,l,NA,NA,9.905994651,PIBA
4,1B,1460,l,NA,NA,3.301998217,PIBA
4,1B,1461,l,NA,NA,12.44599328,PIBA
4,1A,1436,l,NA,NA,6.603996434,PIBA
4,1A,1437,l,NA,NA,10.66799424,PIBA
4,1A,1435,l,NA,NA,5.33399712,PIBA
