repaired_name_1980,sp_name_1980,accepted_name,species,notes,kingdom,class,order,family,genus,code,division,unified_code
Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium pulcherrimum,pulcherrimum,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,PTIPUL,Marchantiophyta,PTIPUL
Pylaisiella polyantha,Pylaisiella polyantha,Pylaisia polyantha,polyantha,NA,Plantae,Bryopsida,Hypnales,Pylaisiaceae,Pylaisia,PYLPOL,Bryophyta,PYLPOL
Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus,triquetrus,NA,Plantae,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,RHYTRI,Bryophyta,RHYTRI
Drepanocladus revolvens,Drepanocladus revolvens,Scorpidium revolvens,revolvens,NA,Plantae,Bryopsida,Hypnales,Calliergonaceae,Scorpidium,DREREV,Bryophyta,SCOREV
Sphagnum angustifolium,Sphagnum angustifolium,Sphagnum angustifolium,angustifolium,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHANG,Bryophyta,SPHANG
Sphagnum fuscum,Sphagnum fuscum,Sphagnum fuscum,fuscum,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHFUS,Bryophyta,SPHFUS
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,Mis-spelled?,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHMEM,Bryophyta,SPHNEM
Sphagnum nemoreum,Sphagnum nemoreum,Sphagnum nemoreum,nemoreum,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHNEM,Bryophyta,SPHNEM
Sphagnum russowii,Sphagnum russowii,Sphagnum russowii,russowii,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHRUS,Bryophyta,SPHRUS
Sphagnum warnstorfii,Sphagnum warnstorfii,Sphagnum warnstorfii,warnstorfii,NA,Plantae,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,SPHWAR,Bryophyta,SPHWAR
Stereocaulon alpinum,Stereocaulon alpinum,Stereocaulon alpinum,alpinum,NA,Fungi,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,STEALP,Ascomycota,STEALP
Thuidium recognitum,Thuidium recognitum,Thuidium recognitum,recognitum,NA,Plantae,Bryopsida,Hypnales,Thuidiaceae,Thuidium,THUREC,Bryophyta,THUREC
Tomentypnum falcifolium,Tomentypnum falcifolium,Tomentypnum falcifolium,falcifolium,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Tomentypnum,TOMFAL,Bryophyta,TOMFAL
Tomentypnum nitens,Tomentypnum nitens,Tomentypnum nitens,nitens,NA,Plantae,Bryopsida,Hypnales,Amblystegiaceae,Tomentypnum,TOMNIT,Bryophyta,TOMNIT
Cetraria pinastri,Cetraria pinastri,Vulpicida pinastri,pinastri,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Vulpicida,CETPIN,Ascomycota,VULPIN
