Order from csv file,Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted...Y.N.,,,
59,EPCI,F,EPILCIL,Epilobium ciliatum,Raf.,northern willowherb,Epilobium ciliatum,Raf.,"identified by Derek Johnson - called ""EPPA"" on 2005 fieldsheet (varified by George La Roi as EPCI)",Y,,,
87,EPPA,F,EPILPAL,Epilobium palustre,L.,marsh willowherb,Epilobium palustre,L.,,Y,,,
29,EQAR,F,EQUIARV,Equisetum arvense,L.,common horsetail,Equisetum arvense,L.,,Y,,,
85,EQFL,F,EQUIFLU,Equisetum fluviatile,L.,swamp horsetail,Equisetum fluviatile,L.,,Y,,,
176,EQPA,F,EQUIPAL,Equisetum palustre,L.,marsh horsetaile,Equisetum palustre,L.,,NA,,,
48,EQPR,F,EQUIPRA,Equisetum pratense,Ehrh.,meadow horsetail,Equisetum pratense,Ehrh.,,Y,,,
86,EQSC,F,EQUISCI,Equisetum scirpoides,Michx.,dwarf scouring-rush,Equisetum scirpoides,Michx.,,Y,,,
53,EQSY,F,EQUISYL,Equisetum sylvaticum,L.,woodland horsetail,Equisetum sylvaticum,L.,,Y,,,
22,EQVA,F,EQUIVAR,Equisetum variegatum,Schleich.,variegated horsetail,Equisetum variegatum,Schleich. ex F. Weber & D. Mohr,,Y,,,
173,ERBR,G,ERIOBRA,Eriophorum brachyantherum,Trautv.,northland cottonsedge,Eriophorum brachyantherum,Trautv. & C.A. Mey.,,NA,,,
9,ERGL,F,ERIGGLA,Erigeron glabellus,Nutt.,smooth fleabane,Erigeron glabellus,Nutt.,,Y,,,
116,ERGR,G,ERIOGRA,Eriophorum gracile,Koch,slender cotton grass,Eriophorum gracile,W.D.J. Koch,,Y,,,
103,FESA,G,FESTSAX,Festuca saximontana,Rydb.,Rocky Mountain fescue,Festuca saximontana,Rydb.,recorded by Robert Ellis in 1987 -  may have been Oryzopsis pungens (verified by George LaRoi),Y,,,
163,FRSP,F,FRAGSP.,Fragaria sp,,,Fragaria sp.,NA,would be vesca or virginiana,NA,,,
65,FRVE,F,FRAGVES,Fragaria vesca,L.,woodland strawberry,Fragaria vesca,L.,,Y,,,
10,FRVI,F,FRAGVIR,Fragaria virginiana,Duchesne,wild strawberry,Fragaria virginiana,Duchesne,,Y,,,
