Strata,Species,7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted? (Y/N)
F,PYAS,PYROASA,Pyrola asarifolia,Michx.,common pink wintergreen,Pyrola asarifolia,Michx.,,Y
F,PYCH,PYROCHL,Pyrola chlorantha,Sw.,greenish-flowered wintergreen,Pyrola chlorantha,Sw.,,Y
F,RUAC,RUBUARC,Rubus arcticus,L.,dwarf raspberry,Rubus arcticus,L.,same as Rubus acaulis,Y
F,RUCH,RUBUCHA,Rubus chamaemorus,L.,cloudberry,Rubus chamaemorus,L.,,Y
F,RUPU,RUBUPUB,Rubus pubescens,Raf.,dewberry,Rubus pubescens,Raf.,,Y
F,SEIN,SENEIND,Senecio indecorus,Greene,rayless ragwort,Packera indecora,(Greene) A. Love & D. Love,"was called ""SENECIO"" in 2005 - not collected - possibly Senecio indecorus? (verified by George LaRoi)",N
F,SMTR,SMILTRI,Smilacina trifolia,(L.) Desf.,three-leaved Solomon's-seal,Maianthemum trifolium,(L.) Sloboda,,N
F,SOSP,SOLISPA,Solidago spathulata,DC.,mountain goldenrod,Solidago spathulata,DC.,,Y
F,SOUL,SONCULI,Sonchus uliginosus,Bieb.,smooth perennial sow-thistle,Sonchus arvensis ssp. uliginosus,(M. Bieb.) Nyman,"identified by Derek Johnson - called ""LACTUCA-PINK"" on 2005 fieldsheet",N
F,SPRO,SPIRROM,Spiranthes romanzoffiana,Cham. & Schlecht.,hooded ladies'-tresses,Spiranthes romanzoffiana,Cham.,,Y
F,STLO,STELLON,Stellaria longifolia,Muhl.,long-leaved chickweed,Stellaria longifolia,Muhl. Ex Willd.,"called ""STELLARIA"" on 2005 fieldsheet - Collected sample from Stand 8 was identified by Derek Johnson - initially called ARLA and was later identified by Derek as Stellaria longifolia",Y
F,TAOF,TARAOFF,Taraxacum officinale,Weber,common dandelion,Taraxacum officinale,F.H. Wigg.,,Y
F,TOGL,TOFIGLU,Tofieldia glutinosa,(Michx.) Pers.,sticky false asphodel,Tofieldia glutinosa,(Michx.) Pers.,species name verified by George LaRoi,N
F,TRBO,TRIEBOR,Trientalis borealis,Raf.,northern starflower,Trientalis borealis,Raf.,,Y
F,TRHY,TRIFHYB,Trifolium hybridum,L.,alsike clover,Trifolium hybridum,L.,,Y
F,TRPR,TRIFPRA,Trifolium pratense,L.,red clover,Trifolium pratense,L.,,Y
F,TYLA,TYPHLAT,Typha latifolia,L.,common cattail,Typha latifolia,L.,,Y
F,VIAM,VICIAME,Vicia americana,Muhl.,wild vetch,Vicia americana,Muhl. Ex Willd.,,Y
F,VIAD,VIOLADU,Viola adunca,J.E. Smith,early blue violet,Viola adunca,Sm.,,Y
F,VIRE,VIOLREN,Viola renifolia,A. Gray,kidney-leaved violet,Viola renifolia,A. Gray,,Y
G ,AGTR,AGROTRA,Agropyron trachycaulum,(Link) Malte,slender wheat grass,Elymus trachycaulum,(Link) Malte ex H.F. Lewis,identified by Derek Johnson - Sample collected in Stand 8 in 2005 was initially called Ag-inexpa. Was called AGSU - Agropyron subsecundum - in stands 1 and 2 before 2005 based on Moss 1st edition (verified by George LaRoi),N
G,AGSC,AGROSCA,Agrostis scabra,Willd.,rough hair grass,Agrostis scabra,Willd.,,Y
G,BRCI,BROMCIL,Bromus ciliatus,L.,fringed brome,Bromus ciliatus,L.,,Y
G,CACA,CALACAN,Calamagrostis canadensis,(Michx.) Beauv.,bluejoint,Calamagrostis canadensis,(Michx.) P. Beauv.,,Y
G,CAIN,CALAINE,Calamagrostis inexpansa,A. Gray,northern reed grass,Calamagrostis stricta ssp. inexpansa,(A. Gray) C.W. Greene,,N
G,CXAE,CAREAEN,Carex aenea,Fern.,silvery-flowered sedge,Carex foenea,Willd.,"identified by Derek Johnson - called ""CX-NRLF"" in Stands 3 and 4 or ""CX-NWLF"" in Stands 6 and 8 on 2005 fieldsheet",N
G,CXAQ,CAREAQU,Carex aquatilis,Wahlenb.,water sedge,Carex aquatilis,Wahlenb.,,Y
