stand,year,month,day,quad,TEMP
BP,1981,8,NA,2C,0
BP,1981,8,NA,2A,0
BP,1981,8,NA,4A,0
BP,1981,8,NA,4C,0
BP,1981,8,NA,4E,0
BP,1981,8,NA,4G,0
BP,1981,8,NA,4I,0
BP,1981,8,NA,6I,0
BP,1981,8,NA,6G,0
BP,1981,8,NA,6E,0
BP,1981,8,NA,6C,0
BP,1981,8,NA,6A,0
BP,1981,8,NA,8A,0
BP,1981,8,NA,8C,0
BP,1981,8,NA,8E,0
BP,1981,8,NA,8G,0
BP,1981,8,NA,8I,0
TT,1981,8,NA,0A,0
TT,1981,8,NA,0C,0
TT,1981,8,NA,0E,0
TT,1981,8,NA,0G,0
TT,1981,8,NA,0I,0
TT,1981,8,NA,2I,0
TT,1981,8,NA,2G,0
TT,1981,8,NA,2E,0
TT,1981,8,NA,2C,0
TT,1981,8,NA,2A,0
TT,1981,8,NA,4A,0
TT,1981,8,NA,4C,0
TT,1981,8,NA,4E,0
TT,1981,8,NA,4G,0
TT,1981,8,NA,4I,0
TT,1981,8,NA,6I,0
TT,1981,8,NA,6G,0
TT,1981,8,NA,6E,0
TT,1981,8,NA,6C,0
TT,1981,8,NA,6A,0
TT,1981,8,NA,8A,0
TT,1981,8,NA,8C,0
TT,1981,8,NA,8E,0
TT,1981,8,NA,8G,0
TT,1981,8,NA,8I,0
FS,1982,8,NA,0A,57
FS,1982,8,NA,0C,57
FS,1982,8,NA,0E,56
FS,1982,8,NA,0G,58
FS,1982,8,NA,0I,58
FS,1982,8,NA,2A,58
FS,1982,8,NA,2C,58
FS,1982,8,NA,2E,58
FS,1982,8,NA,2G,58
FS,1982,8,NA,2I,58
FS,1982,8,NA,4A,57
FS,1982,8,NA,4C,58
FS,1982,8,NA,4E,58
FS,1982,8,NA,4G,56
FS,1982,8,NA,4I,57
FS,1982,8,NA,6A,58
FS,1982,8,NA,6C,57
FS,1982,8,NA,6E,57
FS,1982,8,NA,6G,58
FS,1982,8,NA,6I,58
FS,1982,8,NA,8A,58
FS,1982,8,NA,8C,58
FS,1982,8,NA,8E,58
FS,1982,8,NA,8G,58
FS,1982,8,NA,8I,58
FD,1982,8,NA,0A,57
FD,1982,8,NA,0C,56
FD,1982,8,NA,0E,57
FD,1982,8,NA,0G,56
FD,1982,8,NA,0I,57
FD,1982,8,NA,2A,58
FD,1982,8,NA,2C,58
FD,1982,8,NA,2E,58
FD,1982,8,NA,2G,56
FD,1982,8,NA,2I,56
FD,1982,8,NA,4A,57
FD,1982,8,NA,4C,57
FD,1982,8,NA,4E,56
