year,stand,quad,total_cover,ABBA,BEPU,LALA,PIBA,PIGL,PIMA,POBA,POTR,ALCR,PRPE
1987,3,5A,39,0,0,0,39,0,0,0,0,0,0
1987,3,5B,47,0,0,0,38,0,0,0,0,0,9
1987,3,5C,42,0,0,0,42,0,0,0,0,0,0
1987,3,5D,81,0,0,0,33,48,0,0,0,0,0
1987,3,5E,44,0,0,0,44,0,0,0,0,0,0
1987,3,5F,44,0,0,0,44,0,0,0,0,0,0
1987,3,5G,48,0,0,0,48,0,0,0,0,0,0
1987,3,5H,52,0,0,0,52,0,0,0,0,0,0
1987,3,5I,46,0,0,0,46,0,0,0,0,0,0
1987,3,5J,57,0,0,0,57,0,0,0,0,0,0
1987,3,6A,52,0,0,0,52,0,0,0,0,0,0
1987,3,6B,66,0,0,0,49,17,0,0,0,0,0
1987,3,6C,50,0,0,0,50,0,0,0,0,0,0
1987,3,6D,55,0,0,0,55,0,0,0,0,0,0
1987,3,6E,50,0,0,0,50,0,0,0,0,0,0
1987,3,6F,48,0,0,0,48,0,0,0,0,0,0
1987,3,6G,56,0,0,0,56,0,0,0,0,0,0
1987,3,6H,60,0,0,0,60,0,0,0,0,0,0
1987,3,6I,56,0,0,0,56,0,0,0,0,0,0
1987,3,6J,64,0,0,0,62,2,0,0,0,0,0
1987,3,7A,56,0,0,0,56,0,0,0,0,0,0
1987,3,7B,54,0,0,0,52,2,0,0,0,0,0
1987,3,7C,50,0,0,0,48,1,0,0,0,0,1
1987,3,7D,52,0,0,0,52,0,0,0,0,0,0
1987,3,7E,52,0,0,0,52,0,0,0,0,0,0
1987,3,7F,58,0,0,0,58,0,0,0,0,0,0
1987,3,7G,54,0,0,0,54,0,0,0,0,0,0
1987,3,7H,60,0,0,0,59,0,0,0,1,0,0
1987,3,7I,69,0,0,0,68,0,0,0,1,0,0
1987,3,7J,68,0,0,0,68,0,0,0,0,0,0
1987,3,8A,55,0,0,0,56,4,0,0,0,0,0
1987,3,8B,55,0,0,0,54,1,0,0,0,0,0
1987,3,8C,54,0,6,0,48,0,0,0,0,0,0
1987,3,8D,69,0,0,0,69,0,0,0,0,0,0
1987,3,8E,57,0,0,0,57,0,0,0,0,0,0
1987,3,8F,58,0,0,0,58,0,0,0,0,0,0
1987,3,8G,75,0,0,0,39,24,9,0,3,0,0
1987,3,8H,66,0,0,0,58,0,5,0,3,0,0
1987,3,8I,60,0,0,0,57,0,0,0,3,0,0
1987,3,8J,60,0,0,0,60,0,0,0,0,0,0
1987,3,9A,54,0,0,0,54,0,0,0,0,0,0
1987,3,9B,63,0,0,0,63,0,0,0,0,0,0
1987,3,9C,56,0,0,0,56,0,0,0,0,0,0
1987,3,9D,64,0,0,0,64,0,0,0,0,0,0
1987,3,9E,71,0,0,0,71,0,0,0,0,0,0
1987,3,9F,78,0,0,0,56,18,0,0,4,0,0
1987,3,9G,64,0,0,0,57,4,0,0,3,0,0
1987,3,9H,64,0,0,0,42,19,0,0,3,0,0
1987,3,9I,62,0,0,0,54,7,0,0,1,0,0
1987,3,9J,69,0,0,0,65,1,0,0,3,0,0
1987,4,0A,80,1,0,0,0,73,0,0,6,0,0
1987,4,0B,77,0,0,0,0,74,0,0,3,0,0
1987,4,0C,80,0,0,0,0,78,0,0,2,0,0
1987,4,0D,92,32,0,0,0,59,0,0,1,0,0
1987,4,0E,92,30,0,0,2,60,0,0,0,0,0
1987,4,0F,81,17,0,0,3,60,0,0,1,0,0
1987,4,0G,81,26,0,0,5,48,0,0,2,0,0
1987,4,0H,83,16,0,0,2,63,1,0,1,0,0
1987,4,0I,88,8,0,0,0,77,2,0,1,0,0
1987,4,0J,85,10,0,0,0,72,1,0,2,0,0
1987,4,1A,75,0,0,0,0,72,0,0,3,0,0
1987,4,1B,68,0,0,0,0,68,0,0,4,0,0
1987,4,1C,94,46,2,0,0,46,0,0,0,0,0
1987,4,1D,81,21,0,0,1,59,0,0,0,0,0
1987,4,1E,71,11,0,0,3,57,0,0,0,0,0
1987,4,1F,89,27,0,0,3,58,1,0,0,0,0
1987,4,1G,83,22,0,0,3,56,2,0,0,0,0
1987,4,1H,72,8,0,0,4,57,2,0,1,0,0
1987,4,1I,80,24,0,0,1,53,2,0,0,0,0
1987,4,1J,90,29,0,0,0,61,0,0,0,0,0
1987,4,2A,90,31,1,0,0,56,0,0,2,0,0
1987,4,2B,76,1,5,0,0,67,0,0,3,0,0
1987,4,2C,94,45,4,0,0,43,0,0,2,0,0
1987,4,2D,79,10,1,0,1,65,0,0,2,0,0
1987,4,2E,90,26,0,0,2,61,0,0,1,0,0
1987,4,2F,82,21,0,0,2,57,0,0,2,0,0
1987,4,2G,91,17,0,0,0,69,4,0,1,0,0
1987,4,2H,93,25,0,0,2,65,0,0,1,0,0
1987,4,2I,93,33,0,0,0,57,2,0,1,0,0
1987,4,2J,89,18,0,0,0,70,0,0,1,0,0
1987,4,3A,85,28,1,0,0,52,0,0,4,0,0
1987,4,3B,79,2,4,0,0,71,0,0,2,0,0
1987,4,3C,76,0,2,0,0,73,0,0,1,0,0
1987,4,3D,75,1,1,0,0,71,0,0,2,0,0
1987,4,3E,74,4,0,0,0,69,0,0,1,0,0
1987,4,3F,82,17,0,0,0,57,1,0,7,0,0
1987,4,3G,83,14,0,0,0,63,2,0,4,0,0
