stand,WE_marker,SN_marker,relative_elevation_m
6,1,I,-0.34
6,2,I,0.14
6,3,I,-0.51
6,4,I,-0.26
6,5,I,-1.47
6,6,I,-1.54
6,7,I,-1.35
6,8,I,-2.12
6,9,I,-2.15
6,10,I,-1.91
6,0,J,-0.18
6,1,J,0.44
6,2,J,0.51
6,3,J,0.00
6,4,J,-0.14
6,5,J,-1.19
6,6,J,-0.97
6,7,J,-1.37
6,8,J,-2.06
6,9,J,-1.97
6,10,J,-1.58
6,0,K,0.50
6,1,K,0.12
6,2,K,0.02
6,3,K,-0.45
6,4,K,0.41
6,5,K,-1.44
6,6,K,-1.83
6,7,K,-0.89
6,8,K,-1.73
6,9,K,-1.58
6,10,K,-1.33
7,0,A,0.00
7,1,A,-0.43
7,2,A,0.33
7,3,A,0.31
7,4,A,0.09
7,5,A,-0.06
7,6,A,0.16
7,7,A,-0.07
7,8,A,-0.37
7,9,A,-0.32
7,10,A,-0.17
7,0,B,-0.22
7,1,B,-0.03
7,2,B,0.89
7,3,B,-0.09
7,4,B,0.38
7,5,B,0.48
7,6,B,0.59
7,7,B,-0.42
7,8,B,-0.41
7,9,B,-0.29
7,10,B,-0.43
7,0,C,0.10
7,1,C,-0.03
7,2,C,0.36
7,3,C,-0.70
7,4,C,-0.21
7,5,C,-0.09
7,6,C,0.02
7,7,C,-0.26
7,8,C,-0.43
7,9,C,0.16
7,10,C,-0.41
7,0,D,0.35
7,1,D,-0.07
7,2,D,-0.36
7,3,D,0.46
7,4,D,-0.12
7,5,D,0.16
7,6,D,0.29
7,7,D,-0.18
7,8,D,0.01
7,9,D,-0.25
7,10,D,0.04
7,0,E,0.32
7,1,E,0.10
7,2,E,0.05
7,3,E,0.06
7,4,E,0.19
7,5,E,-0.30
7,6,E,0.00
7,7,E,-0.03
7,8,E,-0.14
7,9,E,-0.30
7,10,E,-0.21
7,0,F,-0.02
7,1,F,-0.12
7,2,F,0.67
7,3,F,0.09
7,4,F,0.55
7,5,F,-0.23
7,6,F,0.45
7,7,F,-0.05
7,8,F,-0.23
7,9,F,0.25
7,10,F,-0.01
7,0,G,0.37
7,1,G,0.35
7,2,G,1.04
7,3,G,0.39
7,4,G,0.70
7,5,G,0.38
7,6,G,0.68
7,7,G,-0.05
7,8,G,0.04
7,9,G,-0.27
7,10,G,-0.41
7,0,H,0.67
7,1,H,0.29
7,2,H,0.03
7,3,H,0.52
7,4,H,0.74
7,5,H,-0.07
7,6,H,0.56
7,7,H,0.25
7,8,H,0.18
7,9,H,0.23
7,10,H,-0.29
7,0,I,0.31
7,1,I,0.42
7,2,I,0.65
7,3,I,0.32
7,4,I,0.61
7,5,I,0.30
7,6,I,0.47
7,7,I,0.06
7,8,I,0.59
7,9,I,-0.42
7,10,I,0.30
7,0,J,0.54
7,1,J,0.36
7,2,J,0.45
7,3,J,0.27
7,4,J,0.56
7,5,J,0.06
7,6,J,0.40
7,7,J,-0.20
7,8,J,0.28
7,9,J,-0.24
7,10,J,0.70
7,0,K,0.67
7,1,K,0.62
7,2,K,0.36
7,3,K,-0.24
7,4,K,0.37
7,5,K,0.58
7,6,K,0.27
7,7,K,-0.15
7,8,K,1.15
7,9,K,0.85
7,10,K,0.21
8,0,A,0.00
8,1,A,-0.25
8,2,A,-0.57
8,3,A,-0.67
8,4,A,-0.87
8,5,A,-0.75
8,6,A,-0.42
8,7,A,-0.47
8,8,A,-0.47
8,9,A,0.37
8,10,A,0.42
8,0,B,-0.45
8,1,B,-0.57
8,2,B,-0.34
8,3,B,-0.79
8,4,B,-0.24
8,5,B,-0.59
8,6,B,-0.72
8,7,B,0.16
8,8,B,0.14
8,9,B,0.16
8,10,B,0.56
8,0,C,-0.69
8,1,C,-0.66
8,2,C,-0.26
8,3,C,-0.75
8,4,C,-0.42
8,5,C,-0.24
8,6,C,-0.43
8,7,C,0.61
8,8,C,0.71
8,9,C,0.38
8,10,C,0.36
8,0,D,-0.62
8,1,D,-0.54
8,2,D,-0.06
8,3,D,-0.52
8,4,D,-0.42
8,5,D,-0.70
8,6,D,-0.10
8,7,D,0.57
8,8,D,0.34
8,9,D,0.69
8,10,D,0.80
8,0,E,-0.42
8,1,E,0.00
8,2,E,0.39
8,3,E,-0.52
8,4,E,-0.24
8,5,E,-0.26
8,6,E,0.04
8,7,E,0.48
8,8,E,0.34
8,9,E,0.63
8,10,E,0.88
8,0,F,-1.06
8,1,F,-0.81
8,2,F,-0.12
8,3,F,-0.22
8,4,F,0.28
8,5,F,-0.40
8,6,F,0.11
8,7,F,0.51
8,8,F,0.46
8,9,F,0.86
8,10,F,0.36
8,0,G,-0.91
8,1,G,-0.55
8,2,G,0.51
8,3,G,0.19
8,4,G,0.13
8,5,G,0.57
8,6,G,0.49
8,7,G,0.78
8,8,G,0.86
8,9,G,1.20
8,10,G,0.62
8,0,H,-0.64
8,1,H,-0.32
8,2,H,0.18
8,3,H,-0.10
8,4,H,0.49
8,5,H,0.46
8,6,H,0.67
8,7,H,0.70
8,8,H,0.82
8,9,H,0.83
8,10,H,0.80
8,0,I,-0.35
8,1,I,-0.30
8,2,I,0.74
8,3,I,0.51
8,4,I,0.42
8,5,I,0.50
8,6,I,0.45
8,7,I,0.97
8,8,I,0.95
8,9,I,0.77
8,10,I,1.07
8,0,J,-0.42
8,1,J,-0.29
8,2,J,1.02
8,3,J,0.45
8,4,J,0.88
8,5,J,1.01
8,6,J,1.17
8,7,J,1.05
8,8,J,1.35
8,9,J,0.81
8,10,J,0.69
8,0,K,-0.68
8,1,K,-0.31
8,2,K,0.70
8,3,K,0.13
8,4,K,0.71
8,5,K,0.34
8,6,K,0.70
8,7,K,1.39
8,8,K,1.25
8,9,K,0.92
8,10,K,1.15
