original_code,strata,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
CLACOR,L,Cladonia cornuta,(L.) Hoffm.,bighorn cup lichen,Cladonia cornuta,(L.) Hoffm.,NA,CLACOR
CLACRP,L,Cladonia crispata,(Ach.) Flot.,greater organ-pipe lichen,Cladonia crispata,(Ach.) Flot.,NA,CLACRP
CLACRI,L,Cladonia cristatella,Tuck.,British soldiers lichen,Cladonia cristatella,Tuck.,Mis-spelled? Makes the most sense‚Ä¶ the T could have been easily misread as I,CLACRT
CLACRT,L,Cladonia cristatella,Tuck.,British soldiers lichen,Cladonia cristatella,Tuck.,NA,CLACRT
CLAFIM,L,Cladonia fimbriata,(L.) Fr.,trumpet lichen,Cladonia fimbriata,(L.) Fr.,NA,CLAFIM
CLAFUR,L,Cladonia furcata,(Huds.) Schrad.,many-forked cup lichen,Cladonia furcata,(Huds.) Schrad.,NA,CLAFUR
CLAAMA,L,Cladonia amaurocraea,(Flörke) Schaer.,quill lichen,Cladonia amaurocraea,(Flörke) Schaer.,only in AOS stands,CLAAMA
CLAGRA,L,Cladonia gracilis,(L.) Willd.,smooth horn lichen,Cladonia gracilis,(L.) Willd.,NA,CLAGRA
CLAMIT,L,Cladina mitis,(Sandst.) Mong.,green reindeer lichen,Cladonia mitis,Sandst.,NA,CLAMIT
CLAMUL,L,Cladonia multiformis,G.K.Kerr.,sieve lichen,Cladonia multiformis,G.K.Kerr.,NA,CLAMUL
CLACAP,L,Cladonia capitata,Spreng.,turban cup lichen,Cladonia peziziformis,(With.) J.R.Laundon,NA,CLAPEZ
CLACAR,L,Cladonia cariosa,(Ach.) Spreng.,split-peg soldiers cup lichen,Cladonia cariosa,(Ach.) Spreng.,only in AOS stands,CLACAR
CLAPHY,L,Cladonia phyllophora,Ehrh. ex Hoffm.,felt horn lichen,Cladonia phyllophora,Ehrh. ex Hoffm.,NA,CLAPHY
CLAPYX,L,Cladonia pyxidata,(L.) Hoffm.,pebbled pixie lichen,Cladonia pyxidata,(L.) Hoffm.,NA,CLAPYX
CLARAN,L,Cladina rangiferina,(L.) Weber ex F.H.Wigg.,grey reindeer lichen,Cladonia rangiferina,(L.) Weber ex F.H.Wigg.,NA,CLARAN
CLASEA,L,Cladonia scabriuscula,(Delise) Nyl.,winged pixie lichen,Cladonia scabriuscula,(Delise) Nyl.,Misspelling?,CLASCA
CLASQU,L,Cladonia squamosa,Rabenh.,dragon horn,Cladonia squamosa,Rabenh.,only in AOS stands,CLASQU
CLASTE,L,Cladina stellaris,(Opiz) Brodo,northern reindeer lichen,Cladonia stellaris,(Opiz) Brodo,NA,CLASTE
CLASUB,L,Cladonia subulata,(L.) Weber ex F.H.Wigg.,antlered pixie lichen,Cladonia subulata,(L.) Weber ex F.H.Wigg.,NA,CLASUB
CLAGON,L,Cladonia gonecha,(Ach.) Asahina,greater sulphur-cup lichen,Cladonia sulphurina,(Michx.) Fr.,NA,CLASUL
CLAUNC,L,Cladonia uncialis,Elenkin & Savicz,thorn lichen,Cladonia uncialis,Elenkin & Savicz,NA,CLAUNC
CLAVER,L,Cladonia verticillata,(Hoffm.) Schaer,ladder lichen,Cladonia cervicornis,(Ach.) Flot.,NA,CLACER
DICSP,B,Dicranum sp.,Hedw.,,Dicranum sp.,Hedw.,NA,DICSP
ORTH,B,Orthodicranum sp.,,,Dicranum sp.,Hedw.,NA,DICSP
ORTFLA,B,Orthodicranum flagellare,(Hedw.) Loeske,whip fork-moss,Dicranum flagellare,"Hedwig, 1801",NA,DICFLA
DICFUS,B,Dicranum fuscescens,"(Bridel) Kindberg, 1883",curly heron's-bill moss,Dicranum fuscescens,"(Bridel) Kindberg, 1883",NA,DICFUS
DICPOL,B,Dicranum polysetum,"Swartz, 1801",rugose fork-moss,Dicranum polysetum,"Swartz, 1801",NA,DICPOL
DICSCO,B,Dicranum scoparium,"Hedwig, 1801",broom fork-moss,Dicranum scoparium,"Hedwig, 1801",NA,DICSCO
DICUND,B,Dicranum undulatum,"Schrader ex Bridel, 1801",waved fork-moss,Dicranum undulatum,"Schrader ex Bridel, 1801",NA,DICUND
DISCAP,B,Distichium capillaceum,"Bruch & W.P.Schimper, 1846",fine distichium,Distichium capillaceum,"Bruch & W.P.Schimper, 1846",only in AOS stands,DISCAP
DITFLE,B,Ditrichum flexicaule,"Hampe, 1867",bendy ditrichum,Ditrichum flexicaule,"Hampe, 1867",only in AOS stands,DITFLE
DREUNC,B,Drepanocladus uncinatus,(Hedw.) Warnst.,sickle-leaved hook-moss,Sanionia uncinata,"Loeske, 1907",NA,SANUNC
HELBLA,B,Helodium blandowii,"Warnstorf, 1905",Blandow's feather moss,Helodium blandowii,"Warnstorf, 1905",NA,HELBLA
EURSP,B,Eurhynchium,Brusch & Schimp.,,Eurhynchium,Brusch & Schimp.,NA,EURSP
EURPUI,B,Eurhynchium pulchellum,"Jennings, 1913",elegant feather-moss,Eurhynchiastrum pulchellum,(Hedw.) Ignatov & Huttunen,Mis-spelled?,EURPUL
EURPUL,B,Eurhynchium pulchellum,"Jennings, 1913",elegant feather-moss,Eurhynchiastrum pulchellum,(Hedw.) Ignatov & Huttunen,NA,EURPUL
EVEMES,L,Evernia mesomorpha,Nyl.,boreal oakmoss,Evernia mesomorpha,Nyl.,only in AOS stands,EVEMES
HYLSPL,B,Hylocomium splendens,"W.P.Schimper, 1852",glittering wood-moss,Hylocomium splendens,"W.P.Schimper, 1852",NA,HYLSPL
HYPPHY,L,Hypogymnia physodes,(L.) Nyl.,dark crottle,Hypogymnia physodes,(L.) Nyl.,only in AOS stands,HYPPHY
