month,year,stand,quad,temp_C
9,1982,1,2G,12
10,1982,1,2G,4
5,1983,1,2G,3
6,1983,1,2G,9
7,1983,1,2G,16
8,1983,1,2G,17
9,1983,1,2G,8
10,1983,1,2G,7
5,1984,1,2G,5
6,1984,1,2G,11
7,1984,1,2G,14
8,1984,1,2G,19
9,1984,1,2G,12
10,1984,1,2G,6
5,1985,1,2G,2
6,1985,1,2G,8
7,1985,1,2G,12
9,1985,1,2G,16
10,1985,1,2G,5
5,1986,1,2G,3
6,1986,1,2G,14
7,1986,1,2G,13
8,1986,1,2G,14
9,1986,1,2G,17
10,1986,1,2G,7
8,1987,1,2G,14
8,1988,1,2G,16
8,1989,1,2G,16
8,1990,1,2G,11
8,1995,1,2G,12
8,2000,1,2G,15
8,2005,1,2G,14
8,2010,1,2G,16
6,1981,1,2I,9
8,1981,1,2I,14
9,1981,1,2I,9
11,1981,1,2I,3
5,1982,1,2I,2
6,1982,1,2I,8
7,1982,1,2I,12
8,1982,1,2I,12
9,1982,1,2I,13
10,1982,1,2I,4
5,1983,1,2I,4
6,1983,1,2I,11
7,1983,1,2I,16
8,1983,1,2I,17
9,1983,1,2I,9
10,1983,1,2I,7
5,1984,1,2I,3
6,1984,1,2I,11
7,1984,1,2I,14
8,1984,1,2I,18
9,1984,1,2I,12
10,1984,1,2I,7
5,1985,1,2I,3
6,1985,1,2I,8
7,1985,1,2I,12
9,1985,1,2I,17
10,1985,1,2I,6
5,1986,1,2I,3
6,1986,1,2I,14
7,1986,1,2I,13
8,1986,1,2I,14
9,1986,1,2I,18
10,1986,1,2I,6
8,1987,1,2I,14
8,1988,1,2I,16
8,1989,1,2I,16
8,1990,1,2I,11
8,1995,1,2I,12
8,2000,1,2I,14
8,2005,1,2I,14
8,2010,1,2I,15
6,1981,1,4A,12
8,1981,1,4A,15
9,1981,1,4A,9
11,1981,1,4A,3
5,1982,1,4A,5
6,1982,1,4A,10
7,1982,1,4A,14
8,1982,1,4A,13
9,1982,1,4A,14
10,1982,1,4A,4
5,1983,1,4A,5
6,1983,1,4A,11
7,1983,1,4A,19
8,1983,1,4A,19
9,1983,1,4A,9
10,1983,1,4A,8
5,1984,1,4A,7.5
6,1984,1,4A,13.5
7,1984,1,4A,16.5
8,1984,1,4A,21.5
9,1984,1,4A,10.5
10,1984,1,4A,6.5
5,1985,1,4A,5.5
6,1985,1,4A,10.5
7,1985,1,4A,18
9,1985,1,4A,18
10,1985,1,4A,6
8,1986,1,4A,20
5,1987,1,4A,8
8,1987,1,4A,15
9,1987,1,4A,4
5,1988,1,4A,5
6,1988,1,4A,12
7,1988,1,4A,21
8,1988,1,4A,16.5
9,1988,1,4A,13
10,1988,1,4A,3
5,1989,1,4A,7
6,1989,1,4A,9
7,1989,1,4A,14
8,1989,1,4A,17
9,1989,1,4A,10
10,1989,1,4A,6
5,1990,1,4A,4
6,1990,1,4A,12
7,1990,1,4A,13
8,1990,1,4A,12
9,1990,1,4A,12
10,1990,1,4A,2
8,1995,1,4A,12
8,2000,1,4A,16
8,2005,1,4A,15
8,2010,1,4A,17
6,1981,1,4C,12
8,1981,1,4C,14
9,1981,1,4C,9
11,1981,1,4C,3
5,1982,1,4C,5
