"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"2","4J","6855","PIBA",23.2,"0.3",NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","O","Z",NA,NA,NA,NA,"3.2","4","6.2","90","30",NA,"26.6","26.9","21",NA,NA,""
"2","5A","6560","PIBA",18,"1.3",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.8","O","Z",NA,NA,NA,NA,"4.3","3.3","1.4","65","22.5",NA,"19.3","20.2","20.5",NA,NA,"broken top (2000)"
"2","5A","6561","PIBA",18.8,"1.8",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"17","O","Z",NA,NA,NA,NA,"4.5","4.1","1.9","60","24.3",NA,"22.1","23.1","19.7",NA,NA,""
"2","5C","6865","PIBA",20.2,NA,"0.8","1.2",NA,NA,NA,NA,NA,NA,NA,NA,"53","18","S","NW",NA,NA,NA,NA,"3.3","3","1.9","80","24.1","18.15","23.2","24.7","21.2",NA,NA,""
"2","5C","6866","PIBA",18.5,NA,"0.9",NA,"0.1",NA,NA,NA,NA,NA,NA,NA,"56","17","O","Z",NA,NA,NA,NA,"5.2","4.1","0.8","40","22.5","18.52","22.5","23.4","21.2",NA,NA,""
"2","5C","6864","PIBA",20.5,NA,"1.7","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"58","18.6","S","N",NA,NA,NA,NA,"4","4.6","6.8","60","25.3","14.12","24.2","25.2","22",NA,NA,""
"2","5C","6559","PIBA",22.8,"2.4",NA,NA,"0.2",NA,NA,NA,NA,NA,NA,NA,"51","20.4","S","S",NA,NA,NA,NA,"3.4","4","4","50","29.3","9.76","25.3","27","21.9",NA,NA,""
"2","5E","6863","PIBA",17.5,"0.2",NA,"0.3",NA,NA,NA,NA,NA,NA,NA,NA,"57","18","O","Z",NA,NA,NA,NA,"3.8","3.5","6.5","55","22.1","10.12","19.8","20.9","21.1",NA,NA,""
"2","5F","6862","PIBA",18.5,NA,"1.5",NA,"1.6",NA,NA,NA,NA,NA,NA,NA,"55","16.6","O","Z",NA,NA,NA,NA,"3.7","3","4","70","22.1","8.37","20","21.2","19.2",NA,NA,""
"2","5F","6860","PIBA",7.5,"0.3",NA,"2",NA,"1982","9",NA,"2.2","0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
