Hondo-SEADYN Project:  Rack 005971 File HSL Stemtbl   ,,,,,,,Data checked: 2003 Feb 18,,,,2005 Data Entered and Checked: 2005-Aug-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand 1:  Square plots 5m x 5m,,,,,,,,,,,2010 Data Entered: 2010-Sep-01; Checked: 2010-Sep-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,1983,,,,,,Fallen Stems,,,,,,,,1983,,,,,,,          1983 Crown,,,,1983,1983,1991,2000,2000,,2000,,2005,,,,,,2010,,,,,,
,,,,DBH,1983 Base Coordinates (m),,,,Year,Length,Exit Coordinates (m),,,,Year,Uprooted,,Stem,       1983 Stem Lean,,       1991 Stem Lean,,       2000 Stem Lean,,         Width ,,Ht to crown,,BSD,Radial Inc.,DBH,DBH,Height,2000,Fire ,Comments,(cm),(m),,Stem Lean,,,(cm),(m),,Stem Lean,,,
Stand,Plot,Tag #,Species,(inches),N,S,E,W,Dead,(m),N,S,E,W,Fallen,/ Broken,Age,Height(m),AmtChar,Direction,AmtNum,Direction,AmtNum,Direction,N-S,E-W,bottom (m),Fill%,(cm),(cm),(cm),(cm),(m),Code,Codes,(year recorded),DBH05,Height05,Code05,AmtNum05,Direction05,Comments05,DBH10,Height10,Code10,AmtNum10,Direction10,Comments10,Dummy
1,0J,6278,J,3.7,.,1.4,.,1,.,.,.,.,.,.,.,.,.,10.4,S,SW,.,.,.,.,2.3,2.4,3.6,40,.,.,10.3,10.7,13.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0J,6279,J,2.9,.,2.1,.,1.2,.,.,.,.,.,.,.,.,29,10.7,S,SW,.,.,.,.,1.3,1.2,6.3,65,.,10.4,8.7,9.2,13.5,.,.,.,9.2,13.6,.,.,.,TREE_LOOKS_ALMOST_DEAD,8.9,13.5,DS,.,.,dbh_checked,X 
1,0J,6280,J,4.3,1,.,.,1.1,.,.,.,.,.,.,.,.,.,12.3,O,Z,.,.,.,.,2.7,1.7,4.5,60,.,.,12.9,14.7,18.5,.,.,.,.,.,.,.,.,.,16,20.3,.,.,.,.,X 
1,0J,6281,J,2.2,.,0.2,.,1.5,1982,.,.,0,.,2.1,1982,U,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.5,.,.,DD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,1A,6384,J,2.2,0.1,.,1,.,.,.,.,.,.,.,.,.,30,5.9,m,E,.,.,.,.,1.5,1.4,1,75,.,.,6.7,7.8,7.2,.,.,.,.,.,.,.,.,.,8.5,7.5,LL,15,NE,.,X 
1,1A,6385,J,2.2,0.7,.,0.8,.,.,.,.,.,.,.,.,.,38,7.2,S,SE,.,.,.,.,1.6,1.2,1.1,25,.,5.65,6.4,6,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,1A,6386,J,5.5,2.1,.,1.9,.,.,.,.,.,.,.,.,.,38,11.8,O,Z,.,.,.,.,3.5,2.7,1.2,50,.,.,16.2,19.9,16.9,.,.,.,20.6,17.7,.,.,.,.,21.8,19.7,.,.,.,.,X 
1,1A,6451,J,4.2,0.2,.,1.5,.,.,.,.,.,.,.,.,.,.,11.5,O,Z,.,.,.,.,2.2,1.4,1.8,50,.,.,12.9,14.8,15.6,.,.,.,15,16,.,.,.,.,15.5,17.1,.,.,.,.,X 
1,1A,6452,J,3.5,0.2,.,1.2,.,.,.,.,.,.,.,.,.,.,11.1,S,S,.,.,.,.,1.2,1.2,2.5,70,.,.,10.8,12.7,16.4,.,.,.,.,.,.,.,.,.,13.6,17.8,.,.,.,.,X 
1,1B,6387,J,5.4,0.4,.,.,1.9,.,.,.,.,.,.,.,.,37,10.7,O,Z,.,.,.,.,4.9,3.9,2.5,30,17.6,10.8,15.8,17.5,15.5,.,.,.,17.7,15.7,DS,.,.,LOOKS_RECENTLY_DEAD,.,.,DS,.,.,.,X 
