stand,species_code,tree_tag,quad,base_coord_S_m,base_coord_W_m,substratum,year_dead
3,PIGL,985,8F,4.3,0.9,DL,NA
4,ABBA,319,4H,0.7,0.9,FF,1984
4,ABBA,351,4H,1.2,0.9,FF,NA
4,ABBA,390,4H,4,0.9,FF,NA
6,ABBA,917,4D,0.2,0.9,DL,NA
7,PIMA,862,4G,3.5,0.9,NA,NA
7,PIMA,830,4G,1.1,0.9,NA,NA
7,PIMA,895,4G,1.8,0.9,NA,NA
7,PIMA,881,4G,0.8,0.9,NA,NA
1,PIBA,657,0B,3.6,1,FF,NA
1,PIBA,703,4G,1.3,1,FF,NA
2,PIBA,405,3E,3.4,1,M,NA
2,PIBA,406,2A,3.3,1,FF,NA
2,PIBA,444,2C,3.5,1,FF,NA
2,PIBA,721,2G,1,1,FF,NA
3,PIMA,129,2G,4,1,FF,NA
3,PIMA,140,2D,4.6,1,FF,NA
3,PIMA,169,2C,2.7,1,FF,NA
6,ABBA,510,4E,2.2,1,FF,NA
6,ABBA,466,4H,1.9,1,FF,NA
7,PIMA,89,4E,1.6,1,NA,NA
7,PIMA,833,4G,3.6,1,NA,NA
6,ABBA,505,4G,1.2,1.1,FF,NA
6,ABBA,919,4B,1.7,1.1,FF,NA
7,PIMA,42,4E,4.3,1.1,NA,1984
7,PIMA,850,4G,3.5,1.1,NA,NA
1,PIBA,698,8F,4.6,1.2,FF,NA
2,PIBA,769,6F,4.9,1.2,FF,1984
3,BEPA,932,8F,4.1,1.2,DL,NA
3,BEPA,967,8H,3.5,1.2,DL,NA
3,BEPA,982,8F,3.7,1.2,DL,NA
3,PIGL,993,8G,3.1,1.2,DL,NA
5,POTR,301,8H,4,1.2,FF,NA
5,PIGL,566,9A,0.8,1.2,FF,NA
6,ABBA,724,6C,1.2,1.2,FF,NA
7,LALA,5,4E,0.4,1.2,NA,NA
7,LALA,627,4G,2.7,1.2,NA,NA
4,ABBA,340,4E,2.2,1.25,FF,NA
1,PIBA,612,2E,1.1,1.3,HS,NA
1,PIGL,619,2E,0.5,1.3,FF,NA
2,PIBA,445,9C,3.4,1.3,FF,NA
2,PIBA,449,4D,3.8,1.3,T,NA
2,PIBA,484,1F,4.7,1.3,FF,1984
3,POTR,682,8J,5,1.3,FF,NA
3,POTR,946,8H,2.5,1.3,DL,1984
5,POTR,338,8H,1,1.3,FF,NA
6,ABBA,447,4H,3,1.3,FF,NA
6,ABBA,729,6C,4.8,1.3,FF,NA
7,LALA,99,4E,0.2,1.3,NA,NA
1,POTR,443,4E,2.8,1.4,HS,NA
1,PIBA,607,8J,3.2,1.4,FF,NA
1,PIBA,678,8J,4.4,1.4,FF,NA
1,PIBA,681,6A,3,1.4,HS,NA
2,PIBA,415,4D,3.6,1.4,T,NA
2,PIGL,435,9C,4.5,1.4,FF,NA
2,PIBA,464,4D,3.8,1.4,T,NA
2,PIBA,477,4D,3.6,1.4,T,NA
2,PIBA,479,4D,3.6,1.4,T,NA
3,PIGL,163,6I,3.6,1.4,DL,NA
3,PIGL,655,0I,3.9,1.4,FF,NA
3,POTR,930,8I,4.7,1.4,FF,NA
3,BEPA,940,8I,2.5,1.4,DL,NA
3,POTR,947,8I,4.8,1.4,FF,NA
