stand,year,month,PLOT,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA
2,1981,5,8G,15,0,0,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0,0.1,0,2,25,0
2,1981,5,8I,10,0,0,0.5,0,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0.1,0,0.1,0,0.5,0,1,0,1,0,0.1,0,3,15,0
2,1981,6,0A,2,0,0,0,2,20,0,3,0,0,0,1,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0.1,0,0,0,0,0.5,0.5,0.1,0,0.5,0,0.5,0.1,1,0,0,0,3,10,1
2,1981,6,0C,5,0,0,0,2,30,0,2,0,0,0,0,0,0.1,0,0,0.5,0,0.5,0.1,0,0,0,0,0.1,0,0.1,0.5,0,0,0.5,0,0.5,0,1,0,0.1,0,0,5,0.1
2,1981,6,0E,0.5,0,0,6,1,20,0.1,3,0,0,0,0,0,0.5,0.5,0,2,0.1,0,1,0,0,0,0,0,0,0.5,1,0.1,0,0.5,0,0.5,0,2,0,0.1,0,0,8,2
2,1981,6,0G,8,0,0,0.5,0.5,30,0,1,0,0,0,0,0,1,0.1,0,0,0,0.1,1,0,0,0,0,0,0,0.1,0.5,0.1,0,1,0,0,0,1,0,0,0,0,4,0.5
2,1981,6,0I,30,0,0,30,0.5,6,0.5,2,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,10,1
2,1981,6,2A,20,0,0,1,0.5,15,0,3,0,0,0,0.5,0,0.1,0,0,1,0,0.5,1,0,0.1,0,0,0,0,0,0.5,0.1,0,0,0,0.5,1,2,0,0.5,0,4,10,2
2,1981,6,2C,20,0,0,15,0.1,6,1,4,0,1,0,0.5,0,0.5,0,0,1,0,0,0.5,4,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0,0.1,0,3,10,2
2,1981,6,2E,15,0,0,0,3,20,0,3,0.5,0,0,20,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,2,0,0,0.5,0,0,0.5,0,0.1,0,0,0,0.1,0,0,0,3,25,1
2,1981,6,2G,15,0,0,20,0.5,15,1,2,0,0.5,0,0,0,0,0,0,0.5,0.1,0,0.5,2,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,4,20,2
2,1981,6,2I,25,0,0,12,1,10,1,3,0,0,0,0,0,0.5,0,2,1,0.5,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3,30,4
2,1981,6,4A,4,0,0,0,3,30,0,3,0,0,0,1,0,0.1,0,0,1,0.1,0.5,0.5,0,0.5,0,0,0.5,0,0,1,0,0,2,1,0,0.5,2,0,0.5,0,2,2,0
2,1981,6,4C,10,0,0,3,0.1,5,0.5,3,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0.5,4,0,0,0,0.5,0,0.1,0,0.5,0.5,0.5
2,1981,6,4E,15,3,0,13,0.5,8,0,4,0,0,0,0.5,0,1,0,0.5,1,0.5,0,0.1,1,0,1,0,0,0,0.5,0.1,0,0,0,0,0.5,0,1,0,0,0,5,6,2
2,1981,6,4G,15,0,0,0.1,0,35,0,2,0,0,0,0,0,0.5,0.5,0,1,0,0,0.5,1,0,0,0,0,0,0,0.1,0.1,0,0.5,0,0.5,0,0.1,0,0.5,0,2,3,0.5
2,1981,6,4I,0,0,0,4,1,4,0,2,0,0,2,0.5,0,0.5,0,0,1,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0.5,0,1,0,1,0,0.5,0,1,3,0.5
2,1981,6,6A,20,0,0,10,0.5,2,0,4,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,1,0,0,0.1,0,0.5,0,0.5,0,0,0,3,1,0.5
2,1981,6,6C,10,0,0,20,0.1,5,0,5,0,0,0,0,0.1,0.5,0,0,1,0,0,0.5,0,0,0.1,0,0,0,0.5,1,0.1,0,0,0,0.5,0,0.5,0,0,0,1,0.5,3
2,1981,6,6E,15,0,0,10,2,2,0,5,0,0,0,0,0,0.5,0,0,0.5,0.1,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,3,3,2
2,1981,6,6G,8,0,0,0,0,10,0,4,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,1,0.1,0,0,0,0,0,0.5,0.1,0,0.5,0,0.5,0.5,1,0,0.1,0,3,15,0.5
2,1981,6,6I,5,0,0,3,2,15,0.5,3,0,0,0,0,0,0.5,0,0,1,0.5,0,0.5,0.1,0,0,0,0,0,0.1,0.5,0,0,0.5,0,1,0,1,0,0,1,4,1,3
2,1981,6,8A,25,0,0,15,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0.1,0,0,0,0,0.5,0,0.5,0.1,0,0,1,4,0.1
2,1981,6,8C,20,0,0,8,0.5,0.5,0.5,6,0,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,8,3
2,1981,6,8E,15,0,0,8,2,3,0.5,4,0,0,0,0,0,1,0,6,0.5,0.5,0,0.5,2,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,2,2,20,4
2,1981,6,8G,8,0,0,12,3,0.5,0,3,0,0.5,0,0,0,0.5,0.5,3,0.5,0,0,0.1,0.5,0,0.5,0,0,0.1,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,3,10,1
2,1981,6,8I,4,0,0,0.5,0.5,3,0.5,3,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,1,0,0,0,5,7,3
2,1981,7,0A,3,0,0.1,0,1,30,0,2,0,0,0,1,0,0.5,0.1,0,2,0.1,0.1,0.5,0.1,0.1,0,0,0.5,0,0.1,0.5,0.1,0,0.1,0.1,0.5,0.5,1,0.1,0,0,2,5,2
2,1981,7,0C,2,0,0,0,1,35,0.1,3,0,0,0,0,0,0.1,0,0,1,0,0.5,0.1,0,0,0,0,0.5,0,0.1,0.5,0,0,0.5,0,0.5,0,0.5,0,0.01,0,0,2,0
