Month,Year,Stand,Quad,ABBA,BEPA,PIGL,POBA,POTR,AMAL,LEGR,LODI,LOIN,PRPE,RIGL,RILA,RITR,ROAC,RUID,SHCA,SYAL,VAVI,VIED,ACMI,ACRU,ARNU,ASCI,ASCO,AQBR,COCA,COTR,DITR,EPAN,FRVE,FRVI,GABO,GATR,GORE,HIUM,LAOC,LIBO,MACA,MEPA,MINU,MOUN,PEPA,PYAS,ORSE,PYCH,RUPU,TRBO,VIAM,AGTR,BRCI,CACA,ELGL,ELIN,SCPU,EQAR,EQSY,LYAN,VIRE,GEAM,LOCA,TAOF,CXSI,COST,SABE,POYE,PIMA,MINT,GEBI,SASP,UNKA,LAVE,PIBA,RIOX,RUSP,CIAR,COAU,SEER,THVE,TRHY,CABU,TRPR,CRTE,CXAE,ASPU,EPCI,CXDE,SOUL,ALCR,PESA,STLO,AGSC,GERI,DRPA,LALA,GEPU,ALTE,HAHY,SOCA,SAPL,SAPS,SAMY,ACSI,SAMA,GEPU?
9,2001,6,0G,0,0,0,0.1,2,0,0,0,0.25,0,0,0.01,0,0.25,0.25,0,0,0,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0.25,0.02,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.25,10,0.1,0,0,0,0.01,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,0I,0,0,0,0.05,12,0.02,0,0,0.05,0,0,0,0,0.25,1,0,0.1,0,0,0,0,0.25,0.05,0,0,0.5,0,0,0.1,0,0,0.25,0.05,0,0,0.25,0,0,4,0,0,0,0,0,0,0,0,0.02,0,0,0.25,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,50,0.05,10,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,2I,0,0,0,0.05,5,0,0,0,0.05,0,0,0,0,0.25,0,0,0,0,0.1,0,0,0.5,0.02,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0.25,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,40,0.05,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,2G,0,0,0,0.01,40,0.05,0,0,1,0,0,0.01,0,0.8,0,0,0.02,0,0.25,0,0.01,0.5,0.25,0,0,0.05,0,0,0,0,0,0.4,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0.05,0,0,1,0,0,0,0.01,0,0,0.05,0,0,0.02,0,0,0,0,0,0,30,0.2,0.5,0.1,0,0,0.5,0.01,0,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,2E,0,0,0,0.01,15,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0.01,0,0,0.02,0,0,0.02,0,0,0,0,0,0,50,0,0.1,0.01,0.01,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,2C,0,0,0,0,5,0,0,0,0.1,0,0,0,0,1,1,0,0,0,1,0,0,0.5,3,0,0,0.25,0,0,0.1,0,0.05,0.1,0,0,0.01,0.05,0,0,2,0,0,20,0,0,0,0,0,0,0,0,50,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,2A,0,0,0,0,4,0.05,0,0,0.5,0,0,0,0,0.25,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,1,0,0,0.05,0,0,0,0.05,0,0,1,0,0,4,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0,0.05,0,0,0,0,0,0,0,0,0,50,0,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,4A,0,0,0,0,1,0,0,0,0.01,0,0,0,0,0,0.5,0,0,0,1,0,0,0.25,1,0,0,0.25,0,0,0.05,0,0,0.1,0.01,0,0,0.05,0,0,6,0,0,5,0,0,0,0.25,0,0.01,0,0,1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,4C,0,0,0,0.01,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.01,0.25,0,0,0,0,0,0,0.01,0,0,0.05,0,0,0,0,0,0,10,0.01,0,60,0,0,0,0.5,0,0,0,0,0.02,0,0,0,0.01,0,0,0.05,0,0,0.05,0,0,0,0,0,0,5,0,1,0,0,0,0,0.02,0.05,0.02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,4E,0,0,0,0,8,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0.1,0.1,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.01,0,0,5,0,0,15,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0,0,40,0.01,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
