Month,Year,Stand,Quad,BEPA,PIGL,POBA,POTR,AMAL,LODI,LOIN,PRPE,RIGL,RILA,RITR,ROAC,RUID,SYAL,VAVI,VIED,ACMI,ARNU,ASCI,ASCO,ACRU,COCA,COTR,EPAN,FRVE,FRVI,GABO,GATR,GORE,LAOC,LIBO,MACA,MEPA,MINU,OSCH,PEPA,PYAS,ORSE,PYCH,RUPU,TRBO,VIRE,CACA,ELIN,SCPU,EQSY,HIUM,VIAM,ELGL,BRCI,VAMY,MOUN,AGTR,LYCO,DITR,ABBA,TAOF,RIOX
8,2000,5,4I.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
8,2005,5,0A,0,16,0,7,0,0.5,0,0,0,0,0.01,4,0.1,0,0.1,1,0,4,3,0,0,3,0,0.1,0,0.1,0.5,0,0,0,3,0.1,1,1,0,0.5,0,0,0,3,0,0.01,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,0C,0,10,0,24,0,0.5,0,0,0,0,0,4,0,0,0,3,0,0.5,1,0,0,10,0,0.01,0,0.5,0.1,0,0,0.5,2,1,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,NA
8,2005,5,0E,0,15,0,8,0,1,4,0,0,0,0.1,7,0,0,0,4,0,0,3,0.1,0,3,0,0.01,0,0,0.5,0,0,0,2,0.1,5,2,0,0,0,0,0.01,5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,0G,0,2,0,4,0,0,2,0,0,0,0.1,3,0,0,0,5,0,3,2,0,0,10,0,0.1,0,0.5,0.1,0,0.01,3,7,0,2,3,0,3,0.1,0,0,3,0,0.5,0,0,0,0.01,0,0.1,0,0,0,0,0,0,0,0,0.01,NA
8,2005,5,0I,0,7,0,6,0,0,0,0,0,0,0.5,10,0,0,0,10,0,6,5,2,0,12,0,2,0,0.5,0.5,0.1,0,2,3,0,5,3,0,3,0,0,0,6,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,2I,0,22,0,12,0,0,0,0,0,0,0,5,0,0,0,3,0,6,2,0,0,9,0,0.01,0,0,0.1,0,0,0.5,2,1,3,2,0,1,0,0,0,5,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,2G,0,13,0,15,0.5,0.1,2,0,0,0,0.5,3,0,0,0,2,0.1,0,2,0,0,4,0,0,0,0,0,0,0,1,2,0.5,3,1,0,2,0,0,0,3,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,2E,0,17,0,37,0,0.1,2,0,0,0.01,0.1,1,0,0,0,2,0.01,3,1,0.5,0,4,0,0,0,0.1,0.1,0,0,0.5,2,0.5,1,2,0,0,0.1,0,0,1,0,0.1,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,2C,0,11,0,13,3,0,2,0,0,0.1,0.1,1,0,0,0,4,0,4,0,0.5,0,6,0,0.5,0,0.1,0.5,0.1,0,2,4,0,2,2,0,0,0,0,0,3,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,2A,0,30,0,20,0.5,0.1,1,0,0,0,0.1,3,0,0,0,1,0,3,1,0,0,2,0,0,0,0,0.1,0,0,0.5,3,1,1,0.1,0,1,0,0,0,1,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,4A,0,21,0,15,0,0.1,1,0,0,0.5,0.5,3,0,0,0,0.5,0,5,1,1,0,4,0,0,0,0.1,0.1,0,0,0.1,3,0,1,2,0,0,0.1,0,0,1,0.1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,4C,0,15,0,30,0,2,0,0,0,0,0,3,0,0,0,2,0,6,0.5,0,0,7,0,0,0,0,0.1,0,0,0.1,1,0.5,2,1,0,0.5,0,0,0,1,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,NA
8,2005,5,4E,0,20,0,20,0,0.1,0.01,0,0,0,0.01,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0.1,0.1,0.01,0,0.5,0.5,0.5,1,0.1,0,0.5,0.1,0,0,1,0.01,0.5,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,NA
8,2005,5,4G,0,20,0,25,1,0,0,0,0,0,0,3,0,0,0,0,0.01,0,1,0.5,0,10,0,0,0,0.1,0.1,0,0,2,2,0,4,1,0,0.1,0,0,0,2,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,4I,0,28,0,25,0,0.5,0,0,0,0,0.1,5,0,0,0,1,0,2,0.5,1,0,8,0,0,0,0.1,0.01,0,0.01,1,3,0.5,1,2,0,0,0,0,0,2,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,6I,0,26,0,15,0,0,0,0,0,0,0.01,2,0,0,0,2,0,10,2,0,0,2,0,0,0,0,0.1,0,0,0,1,0.1,3,0.5,0,0.1,0,0,0,0.5,0.1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,2005,5,6G,0,25,0,28,0,0,0,0,0,0,0,2,0,0,0,1,0,11,1,0,0,8,0,0,0,0.01,0.1,0,0,1,2,2,3,3,0,0.5,0.1,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
