sp_name_1980,repaired_name_1980,accepted_name,species,code,notes,unified_code,kingdom,division,class,order,family,genus
Cladonia gonecha,Cladonia gonecha,Cladonia sulphurina,sulphurina,CLAGON,NA,CLAGON,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia unciais,Cladonia uncialis,Cladonia uncialis,uncialis,CLAUNC,NA,CLAUNC,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia verticillata,Cladonia verticillata,Cladonia verticillata,verticillata,CLAVER,NA,CLAVER,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Dicranum,Dicranum,Dicranum,NA,DICSP,NA,DICSP,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Orthodicranum,Orthodicranum,Dicranum,NA,ORTH,NA,DICSP,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Orthodicranum flagillare,Orthodicranum flagellare,Dicranum flagellare,flagellare,ORTFLA,NA,DICFLA,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Dicranum fuscescens,Dicranum fuscescens,Dicranum fuscescens,fuscescens,DICFUS,NA,DICFUS,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Dicranum polysetum,Dicranum polysetum,Dicranum polysetum,polysetum,DICPOL,NA,DICPOL,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Dicranum scoperium,Dicranum scoparium,Dicranum scoparium,scoparium,DICSCO,NA,DICSCO,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Dicranum undulatum,Dicranum undulatum,Dicranum undulatum,undulatum,DICUND,NA,DICUND,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
Drepanocladus uncinatus,Drepanocladus uncinatus,Drepanocladus uncinatus,uncinatus,DREUNC,NA,DREUNC,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Drepanocladus
Helodium blandowii,Helodium blandowii,Elodium blandowii,blandowii,HELBLA,NA,ELOBLA,Plantae,Bryophyta,Bryopsida,Hypnales,Helodiaceae,Elodium
Eurhynchium,Eurhynchium,Eurhynchium,NA,EURSP,NA,EURSP,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,EURPUI,Mis-spelled?,EURPUL,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium
Eurhynchium pulchellum,Eurhynchium pulchellum,Eurhynchium pulchellum,pulchellum,EURPUL,NA,EURPUL,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium
Hylocomium splendens,Hylocomium splendens,Hylocomium splendens,splendens,HYLSPL,NA,HYLSPL,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Hylocomium
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,ICMERI,NA,ICMERI,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila
Icmadophila ericetorum,Icmadophila ericetorum,Icmadophila ericetorum,ericetorum,IMAERI,NA,ICMERI,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Icmadophilaceae,Icmadophila
Leptogium saturninum,Leptogium saturninum,Leptogium saturninum,saturninum,LEPSAT,NA,LEPSAT,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,HEP002,Originally 'hepatic species',MARSP2,Plantae,Marchantiophyta,NA,NA,NA,Marchantiophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,HEP003,Originally 'hepatic species',MARSP3,Plantae,Marchantiophyta,NA,NA,NA,Marchantiophyta
Marchantiophyta,Marchantiophyta,Marchantiophyta,NA,HEPSP,Originally 'hepatic species',MARSP1,Plantae,Marchantiophyta,NA,NA,NA,Marchantiophyta
Mnium,Mnium,Mnium,NA,MNISP,NA,MNISP,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium
Mnium cuspidatum,Mnium cuspidatum,Mnium cuspidatum,cuspidatum,MNICUS,NA,MNICUS,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Mnium
Orthotrichum speciosum,Orthotrichum speciosum,Orthotrichum speciosum,speciosum,ORTSPE,NA,ORTSPE,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum
Parmelia sulcata,Parmelia sulcata,Parmelia sulcata,sulcata,PARSUL,NA,PARSUL,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelia
Peltigera,Peltigera,Peltigera,NA,PELSP,NA,PELSP,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera aphthosa,Peltigera aphthosa,Peltigera aphthosa,aphthosa,PELAPH,NA,PELAPH,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera canina,Peltigera canina,Peltigera canina,canina,PELCAN,NA,PELCAN,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera horizontalis,Peltigera horizontalis,Peltigera horizontalis,horizontalis,PELHOR,NA,PELHOR,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera malacea,Peltigera malacea,Peltigera malacea,malacea,PELMAL,NA,PELMAL,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera polydactylon,Peltigera polydactylon,Peltigera polydactylon,polydactylon,PELPOL,NA,PELPOL,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera pulverulenta,Peltigera pulverulenta,Peltigera pulverulenta,pulverulenta,PELPUL,NA,PELPUL,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Peltigera rufescens,Peltigera rufescens,Peltigera rufescens,rufescens,PELRUF,NA,PELRUF,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera
Plagiomnium cuspidatum,Plagiomnium cuspidatum,Plagiomnium cuspidatum,cuspidatum,PLACUS,NA,PLACUS,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Plagiomnium
Platismatia glauca,Platismatia glauca,Platismatia glauca,glauca,PLAGLA,NA,PLAGLA,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Platismatia
Pleurozium schreberi,Pleurozium schreberi,Pleurozium schreberi,schreberi,PLESCH,NA,PLESCH,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Pleurozium
Pohlia nutans,Pohlia nutans,Pohlia nutans,nutans,POHNUT,NA,POHNUT,Plantae,Bryophyta,Bryopsida,Bryales,Mielichhoferiaceae,Pohlia
Polytrichum juniperinum,Polytrichum juniperinum,Polytrichum juniperinum,juniperinum,POLJUN,NA,POLJUN,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum
Polytrichum piliferum,Polytrichum piliferum,Polytrichum piliferum,piliferum,POLPIL,NA,POLPIL,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum
Polytrichum strictum,Polytrichum strictum,Polytrichum strictum,strictum,POLSTR,NA,POLSTR,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Polytrichum
